fac_no_faction|No Faction
fac_commoners|Commoners
fac_outlaws|Outlaws
fac_neutral|Neutral
fac_innocents|Innocents
fac_merchants|Merchants
fac_trade_federation|Independent
fac_player_faction|Player Faction
fac_player_supporters_faction|Player Faction
fac_galacticempire|Galactic Empire
fac_rebelalliance|Rebel Alliance
fac_huttcartel|Hutt Cartel
fac_bountyhunters|Bounty Hunters
fac_deserters|Deserters
fac_black_sun_pirates|Black Sun Pirates
fac_blazing_claw_pirates|Blazing Claw Pirates
fac_slavers|Slavers
