menu_start_game_1|A long time ago, in a galaxy far, far away...^^Welcome, to Star Wars: Conquest, a mod for Mount&Blade. Before you can start playing the game you must create a character. Please choose your race:
mno_start_mod|Quick Character (for mod testing)
mno_start_male|Human Male
mno_start_female|Human Female
mno_start_twilek|Twilek Male
mno_start_twilek_female|Twilek Female
mno_start_rodian|Rodian
mno_start_moncal|Mon Calamari
mno_start_trandoshan|Trandoshan
mno_start_droid|Droid
mno_start_wookiee|Wookiee
mno_start_sullustan|Sullustan
mno_start_gamorrean|Gamorrean
mno_start_bothan|Bothan
mno_start_geonosian|Geonosian
mno_start_jawa|Jawa
mno_start_tusken|Tusken
mno_go_back|Go back
menu_start_phase_2|It is a period of civil war... The Galactic Empire is in constant battle with the Rebel Alliance while the Hutt Cartel looks for opportunities to make money and expand their area of rule.  Whatever course you take a great adventure awaits you.
mno_continue|Continue...
mno_tutorial_cheat|CHEAT!
menu_start_game_3|Choose your scenario:
mno_custom_battle_scenario_4|Tusken Raider Attack
mno_custom_battle_scenario_6|Attack on the Yavin IV Shrine
mno_custom_battle_scenario_8|Assault the Imperial Spaceship
mno_custom_battle|Start a Custom Battle
mno_choose_scene|Scene Chooser (for development use)
mno_go_back|Go back
menu_tutorial|You approach a field where the locals are training with weapons. You can practice here to improve your combat skills.
mno_tutorial_1|Tutorial #1: Basic movement and weapon selection. {s1}
mno_tutorial_2|Tutorial #2: Fighting with a shield. {s2}
mno_tutorial_3|Tutorial #3: Fighting without a shield. {s3}
mno_tutorial_3b|Tutorial 3 b
mno_tutorial_3b_door|next level
mno_tutorial_4|Tutorial #4: Riding a speeder bike. {s4}
mno_tutorial_5|Tutorial #5: Commanding a band of soldiers. {s5}
mno_go_back_dot|Go back.
menu_reports|Character Renown: {reg5}^Honor Rating: {reg6}^Party Morale: {reg8}^Party Size Limit: {reg7}^
mno_cheat_faction_orders|Cheat: Faction orders.
mno_view_character_report|View character report.
mno_view_party_size_report|View party size report.
mno_view_morale_report|View party morale report.
mno_view_character_report|NPC status check.
mno_Companions_overview|Companions overview.
mno_view_faction_relations_report|View faction relations report.
mno_resume_travelling|Resume travelling.
menu_custom_battle_2|{s16}
mno_custom_battle_go|Start.
mno_leave_custom_battle_2|Cancel.
menu_custom_battle_end|The battle is over. {s1} Your side killed {reg5} enemies and lost {reg6} troops over the battle. You personally slew {reg7} adversaries in the fighting.
mno_continue|Continue.
menu_start_character_0|You spent your early years traveling around the galaxy with your parents. Your father was...
mno_start_quick_ambassador|A ambassador.
mno_start_quick_merchant|A merchant.
mno_start_quick_soldier|A soldier.
mno_start_quick_smuggler|A smuggler.
mno_start_quick_hunter|A bounty hunter.
mno_start_quick_forcesensitive|A force-sensitive warrior.
mno_go_back|Go back
menu_start_character_faction|As you grew older you decided to...
mno_start_quick_faction1|Join the Galactic Empire.
mno_start_quick_faction2|Join the Rebel Alliance.
mno_start_quick_faction3|Join the Hutt Cartel.
mno_start_quick_other|Remain Independent.
mno_go_back|Go back
menu_choose_skill|{s13}
mno_begin_adventuring|Start to navigate the Galaxy.
mno_go_back_dot|Go back.
menu_past_life_explanation|{s3}
mno_view_next|{s5}
mno_continue|Continue...
mno_go_back_dot|Go back.
menu_auto_return|This menu automatically returns to caller.
menu_morale_report|{s1}
mno_continue|Continue...
menu_faction_orders|{s9}
mno_faction_orders_next_faction|Select next faction.
mno_faction_orders_defend|Force defend.
mno_faction_orders_gather|Force gather army.
mno_faction_orders_increase_time|Increase last offensive time by 24 hours.
mno_faction_orders_rethink|Force rethink.
mno_faction_orders_rethink_all|Force rethink for all factions.
mno_go_back_dot|Go back.
menu_character_report|{s9}
mno_continue|Continue...
menu_party_size_report|{s1}
mno_continue|Continue...
menu_faction_relations_report|{s1}
mno_continue|Continue...
menu_camp|It's {s1} on day {reg0} of your adventure.^^{s9}^^What do you want to do?
mno_camp_action|Take an action.
mno_camp_own_faction|Faction Management options.
mno_camp_manage_inventory|Manage your party's inventory.
mno_camp_wait_here|Wait here for some time.
mno_walk_around_menu|Walk around the ship.
mno_configuration_menu|SWC Configuration Menu.
mno_cheat_menu|Modding/Cheat Menu (for development use).
mno_resume_travelling|Resume travelling.
menu_walk_around_choose|What area of the ship do you want to walk around?
mno_walk_around_passenger_quarters|The passenger quarters.
mno_walk_around_cargo_hold|The cargo hold.
mno_walk_around_shooting_range|The shooting range.
mno_walk_around_medical_bay|The medical bay.
mno_walk_around_command_bridge|The command bridge.
mno_walk_around_back|Go back.
menu_own_faction|Choose an action:
mno_recruit_lords|Recruit a new commander. Your faction currently has {reg1} leaders.
mno_give_territory|Manage your territories.
mno_change_culture|Change your faction's culture.
mno_change_faction_name|Change your faction's name.
mno_camp_action_4|Back to camp menu.
menu_change_culture|Choose a culture:^^^The culture of your Faction determine the guards in your territories, the type of recruits from your planets, and the soldiers in your commanders armies.
mno_galactic_empire|Galactic Empire culture
mno_rebel_alliance|Rebel Alliance culture
mno_hutt_cartel|Hutt Cartel culture
mno_human|Human culture
mno_wookiee|Wookiee culture
mno_mandalorian|Mandalorian culture
mno_clone|Clone culture
mno_trandoshan|Trandoshan culture
mno_camp_action_4|Back to faction management menu.
menu_manage_fiefs|Choose a territory ({reg1} to {reg2}):
mno_fief_1|{s1}
mno_fief_2|{s1}
mno_fief_3|{s1}
mno_artillery_recruit2|Next...
mno_artillery_recruit2|Back...
mno_camp_action_4|Back to camp menu.
menu_manage_fiefs_2|Give to commander ({reg1} to {reg2}):
mno_player|{s3}
mno_lord_1|{s3}
mno_lord_2|{s3}
mno_lord_3|{s3}
mno_artillery_recruit2|Next...
mno_artillery_recruit2|Back...
mno_camp_action_4|Back to camp menu.
menu_camp_configuration|Star Wars: Conquest Configuration Menu
mno_config_shield_bash|Change Shield Bash integration ( {s1} )
mno_config_random_scene_battles|Change random scene attacks ( Currently {reg1}% )
mno_config_random_scene_assassination|Change random assassination attempts ( Currently {reg1}% )
mno_config_faction_colors|Change faction colors ( {s1} )
mno_setup_keys|Configure keys.
mno_config_back|Back to camp menu.
menu_setup_keys|Choose ability and then press a key to assign/change its key binding. To unassign key choose ability and press ESC
mno_shield_bash|Shield Bash [ block + attack ]
mno_crouch|Crouch [{s15}]
mno_toggle_weapon|Toggle Weapon Capabilities [{s16}]
mno_helmet_view|Helmet View [{s17}]
