qst_deliver_message|Deliver Message to {s13}
qst_deliver_message_text|{s9} asked you to take a message to {s13}. {s13} was at {s4} when you were given this quest.
qst_deliver_message_to_enemy_lord|Deliver Message to {s13}
qst_deliver_message_to_enemy_lord_text|{s9} asked you to take a message to {s13} of {s15}. {s13} was at {s4} when you were given this quest.
qst_raise_troops|Raise {reg1} {s14}
qst_raise_troops_text|{s9} asked you to raise {reg1} {s14} and bring them to him.
qst_escort_lady|Escort {s13} to {s14}
qst_escort_lady_text|None
qst_deal_with_bandits_at_lords_village|Save the planet of {s15} from Marauding Bandits
qst_deal_with_bandits_at_lords_village_text|{s13} asked you to deal with the bandits who took refuge on the planet of {s15} and then report back to him.
qst_collect_taxes|Collect taxes from {s3}
qst_collect_taxes_text|{s9} asked you to collect taxes from {s3}. He offered to leave you one-fifth of all the money you collect there.
qst_hunt_down_fugitive|Hunt down {s4}
qst_hunt_down_fugitive_text|{s9} asked you to hunt down the fugitive named {s4}. He is currently believed to be at {s3}.
qst_bounty_1|Hunt down {s4}
qst_bounty_1_text|{s9} asked you to hunt down the fugitive named {s4}. He is currently believed to be at {s3}.
qst_bounty_2|Hunt down {s4}
qst_bounty_2_text|{s9} asked you to hunt down the fugitive named {s4}. He is currently believed to be at {s3}.
qst_bounty_3|Hunt down {s4}
qst_bounty_3_text|{s9} asked you to hunt down the fugitive named {s4}. He is currently believed to be at {s3}.
qst_bounty_4|Hunt down {s4}
qst_bounty_4_text|{s9} asked you to hunt down the fugitive named {s4}. He is currently believed to be at {s3}.
qst_bounty_5|Hunt down {s4}
qst_bounty_5_text|{s9} asked you to hunt down the fugitive named {s4}. He is currently believed to be at {s3}.
qst_bounty_6|Hunt down {s4}
qst_bounty_6_text|{s9} asked you to hunt down the fugitive named {s4}. He is currently believed to be at {s3}.
qst_kill_local_merchant|Assassinate Local Merchant at {s3}
qst_kill_local_merchant_text|{s9} asked you to assassinate a local merchant at {s3}.
qst_bring_back_runaway_serfs|Bring Back Runaway Serfs
qst_bring_back_runaway_serfs_text|{s9} asked you to bring back the three groups of runaway serfs back to {s2}. He said all three groups must be running away in the direction of {s3}.
qst_follow_spy|Follow the Spy to Meeting
qst_follow_spy_text|{s11} asked you to follow the spy that will leave {s12}. You must be careful not to be seen by the spy during his travel, or else he may get suspicious and turn back. Once the spy meets with his accomplice, you are to ambush and capture them and bring them both back to {s11}.
qst_capture_enemy_hero|Capture a Lord from {s13}
qst_capture_enemy_hero_text|TODO: {s11} asked you to capture a lord from {s13}.
qst_lend_companion|Lend Your Companion {s3} to {s9}
qst_lend_companion_text|{s9} asked you to lend your companion {s3} to him for a week.
qst_collect_debt|Collect the debt {s3} owes to {s9}
qst_collect_debt_text|{s9} asked you to collect the debt of {reg4} credits {s3} owes to him.
qst_incriminate_loyal_commander|Incriminate the Loyal Commander of {s13}, {s16}
qst_incriminate_loyal_commander_text|None
qst_raid_caravan_to_start_war|Raid {reg13} Caravans of {s13}
qst_raid_caravan_to_start_war_text|None
qst_meet_spy_in_enemy_town|Meet Spy in {s13}
qst_meet_spy_in_enemy_town_text|None
qst_capture_prisoners|Bring {reg1} {s3} Prisoners
qst_capture_prisoners_text|{s9} wanted you to bring him {reg1} {s3} as prisoners.
qst_lend_surgeon|Lend Your Surgeon {s3} to {s1}
qst_lend_surgeon_text|Lend your experienced surgeon {s3} to {s1}.
qst_follow_army|Follow {s9}'s Army
qst_follow_army_text|None
qst_report_to_army|Report to {s13}, the Marshall
qst_report_to_army_text|None
qst_deliver_cattle_to_army|Deliver a herd of {reg3} nerfs to {s13}
qst_deliver_cattle_to_army_text|None
qst_join_siege_with_army|Join the Siege of {s14}
qst_join_siege_with_army_text|None
qst_scout_waypoints|Scout {s13}, {s14} and {s15}
qst_scout_waypoints_text|None
qst_rescue_lord_by_replace|Rescue {s13} from {s14}
qst_rescue_lord_by_replace_text|None
qst_deliver_message_to_prisoner_lord|Deliver Message to {s13} at {s14}
qst_deliver_message_to_prisoner_lord_text|None
qst_duel_for_lady|Challenge {s13} to a Trial of Arms
qst_duel_for_lady_text|None
qst_move_cattle_herd|Move nerf herd to {s13}
qst_move_cattle_herd_text|Guildmaster of {s10} asked you to move a nerf herd to {s13}.
