qstr_2006_2010_THE_STAR_W|2006-2010 THE STAR WARS CONQUEST DEV TEAM
qstr_This_Module_it_s_ded|This Module it's dedicated to every person who believed in us.^^Their valuable Work and Support have inspired Us to Make this bigger.^^The Force It's Strong with you! :-)
qstr_Type_your_Faction_s_|Type your Faction's name:
qstr_Accept|Accept
qstr_Reset|Reset
qstr_Cancel|Cancel
qstr_{s10}|{s10}
qstr_Player_Faction_name_|Player Faction name changed.
qstr_Nothing_to_delete!|Nothing to delete!
qstr_Next_Page|Next Page
qstr_Candidate_#1:_{s1}|Candidate #1: {s1}
qstr_Candidate_#2:_{s1}|Candidate #2: {s1}
qstr_{s3}_of_{s4}_wishes_|{s3} of {s4} wishes to select a new marshall and invites his commanders for a counsel. {s1} and {s2} are the likely candidates.
qstr_Continue...|Continue...
qstr_Who_do_you_wish_to_s|Who do you wish to support?
qstr_{s1}|{s1}
qstr_{s1}_gives_his_suppo|{s1} gives his support to {s2}.
qstr_Number_of_Supporters|Number of Supporters: {reg0}
qstr_{s2}_has_heard_his_c|{s2} has heard his commanders' counsel. He selects {s1} as the marshall of {s3}.
qstr_Action|Action
qstr_Mount|Mount
qstr_Attack_Type|Attack Type
qstr_Hold_This_Position|Hold This Position
qstr_Follow_Me|Follow Me
qstr_Charge|Charge
qstr_Advance|Advance
qstr_Fall_Back|Fall Back
qstr_Stand_Closer|Stand Closer
qstr_Spread_Out|Spread Out
qstr_Stand_Ground|Stand Ground
qstr_Dismount|Dismount
qstr_Use_Any_Weapon|Use Any Weapon
qstr_Use_Blunt_Weapons|Use Blunt Weapons
qstr_Hold_Your_Fire|Hold Your Fire
qstr_Fire_At_Will|Fire At Will
qstr_Us|Us
qstr_Enemies|Enemies
qstr_Ready|Ready
qstr_Wounded|Wounded
qstr_Dead|Dead
qstr_Allies|Allies
qstr_Number_of_men_knocke|Number of men knocked down: {reg1}
qstr_Number_of_men_left:_|Number of men left: {reg1}
qstr_Opponents_Beaten:_{r|Opponents Beaten: {reg1}
qstr_Opponents_Remaining:|Opponents Remaining: {reg1}
qstr_Remain_in_retirement|Remain in retirement.
qstr_Go_back_to_the_adven|Go back to the adventuring.
qstr_You_have_retired_at_|You have retired at level {reg4} after {reg5} days of adventuring.
qstr_Effect_on_Score|Effect on Score
qstr_Settlements_owned_by|Settlements owned by you: {reg0}
qstr_{reg0?+:}{reg0}|{reg0?+:}{reg0}
qstr_Friendly_Settlements|Friendly Settlements: {reg0}
qstr_Hostile_Settlements:|Hostile Settlements: {reg0}
qstr_{reg0}|{reg0}
qstr_Friendly_Lords:_{reg|Friendly Lords: {reg0}
qstr_Enemy_Lords:_{reg0}|Enemy Lords: {reg0}
qstr_Victories:_{reg0}|Victories: {reg0}
qstr_Defeats:_{reg0}|Defeats: {reg0}
qstr_Quests_Completed:_{r|Quests Completed: {reg0}
qstr_Companions_Found:_{r|Companions Found: {reg0}
qstr_Companions_Lost/Depa|Companions Lost/Departed: {reg0}
qstr_Wealth:_{reg0}_credi|Wealth: {reg0} credits
qstr_Inventory:_{reg0}_cr|Inventory: {reg0} credits
qstr_Renown:_{reg0}|Renown: {reg0}
qstr_Experience:_{reg0}|Experience: {reg0}
qstr_Days_Passed:_{reg0}|Days Passed: {reg0}
qstr_Difficulty:_{reg0}%|Difficulty: {reg0}%
qstr_{reg3?+:}{reg0}|{reg3?+:}{reg0}
qstr_TOTAL_SCORE:_{reg0}|TOTAL SCORE: {reg0}
qstr_Hit|Hit
qstr_Stay|Stay
qstr_Double|Double
qstr_Bet:_{reg51}_credits|Bet: {reg51} credits
qstr_Money:_{reg1}_credit|Money: {reg1} credits
qstr_Done|Done
qstr_Draw_all_bets_are_re|Draw, all bets are returned.
qstr_The_dealer_has_a_per|The dealer has a perfect hand! You lose 50% more of your bets!
qstr_You_have_a_perfect_h|You have a perfect hand! You win 50% more of your bets!
qstr_Bet:_0_credits|Bet: 0 credits
qstr_The_dealers_hand_val|The dealers hand value is over 21. You win!
qstr_Your_hand_value_is_o|Your hand value is over 21. You lose!
qstr_The_dealer_has_a_hig|The dealer has a higher hand value. You lose!
qstr_You_have_a_higher_ha|You have a higher hand value. You win!
qstr_You_lose._Try_again?|You lose. Try again?
qstr_You_win!_Try_again?|You win! Try again?
qstr_Draw._Try_again?|Draw. Try again?
qstr_Yes_|Yes 
qstr__No| No
qstr_Dealer_stays.|Dealer stays.
qstr_You_don_t_have_enoug|You don't have enough money.
qstr_You_stay.|You stay.
qstr_Double_bets!_You_can|Double bets! You can only get one card again.
qstr_Not_right_now.|Not right now.
qstr__Return_to_menu_| Return to menu 
qstr_Strength|Strength
qstr_Riding|Riding
qstr_Pdraw|Pdraw
qstr_Pthrow|Pthrow
qstr_1_hand|1-hand
qstr_2_hand|2-hand
qstr_Polearm|Polearm
qstr_Archery|Archery
qstr__X_bow_| X-bow 
qstr_Throwing_|Throwing 
qstr___Firearms|  Firearms
qstr__Mode| Mode
qstr__to_next_lvl_|(to next lvl)
qstr__1.0_| 1.0 
qstr_If_you_can_see_this_|If you can see this, buy a new cpu.
qstr__Weapons____________|-Weapons-                                                              -Equipment-
qstr_________________n/a_|                n/a                
qstr_{s9}|{s9}
qstr_{reg1}|{reg1}
qstr_Rides|Rides
qstr_Walks|Walks
qstr_{reg1}_credits|{reg1} credits
qstr_^^_The_price_is_{reg|^^ The price is {reg1} credits
