p_shipyard_trade_federation|Handelsförderation
p_shipyard_kuat|Kuat-Schiffswerften
p_shipyard_raxus|Raxus-Prime-Schiffswerften
p_shipyard_corellia|Corellia-Schiffswerften
p_shipyard_moncal|Mon-Calamari-Schiffswerften
p_shipyard_mandalore|Mandalore-Schiffswerften
p_shipyard_fondor|Fondor-Schiffswerften
p_spacestation_2|Corellia-Außenposten
p_spacestation_3|Yavin-IV-Kampfstation
p_spacestation_5|Todesstern
p_spacestation_6|Endor-Aussenposten
p_spacestation_7|Mon-Calamari-Kampfstation
p_spacestation_8|Ryloth-Kampfstation
p_spacestation_9|Christophsis-Kampfstation
p_spacestation_10|Kessel-Kampfstation
p_spacestation_11|Avatarplattform
p_spacestation_12|Manaan-Außenposten
p_spacestation_13|Christophsis-Außenposten
p_spacestation_14|Nal-Hutta-Kampfstation
p_spacestation_15|Dantooine-Kampfstation
p_spacestation_16|Kashyyyk-Außenposten
p_spacestation_17|Coruscant-Außenposten
p_spacestation_18|Hoth-Kampfstation
p_spacestation_20|Gamorr-Außenposten
p_spacestation_21|Mandalore-Kampfstation
p_spacestation_22|Manaan-Kampfstation
p_spacestation_23|Corellia-Kampfstation
p_spacestation_24|Geonosis-Kampfstation
p_spacestation_25|Mandalore-Außenposten
p_spacestation_26|Geonosis-Außenposten
p_spacestation_27|Kessel-Außenposten
p_spacestation_29|Hoth-Außenposten
p_spacestation_30|Tatooine-Kampfstation
p_spacestation_31|Gamorr-Kampfstation
p_spacestation_32|Ryloth-Außenposten
p_spacestation_33|Naboo-Außenposten
p_spacestation_34|Dantooine-Außenposten
p_spacestation_35|Naboo-Kampfstation
p_spacestation_36|Coruscant-Kampfstation
p_spacestation_37|Yavin-IV-Außenposten
p_spacestation_38|Nal-Hutta-Außenposten
p_spacestation_39|Mon-Calamari-Außenposten
p_spacestation_40|Tatooine-Außenposten
p_minorplanet_7|Hothmond
p_minorplanet_8|Bespinmond
p_minorplanet_15|Corelliamond
p_minorplanet_19|Bakuramond
p_minorplanet_20|Mon-Calamari-Mond
p_minorplanet_23|Coruscantmond
p_minorplanet_25|Tatooinemond
p_minorplanet_29|Dantooinemond
p_minorplanet_36|Kesselmond
p_minorplanet_42|Bothawuimond
p_minorplanet_45|Dathomirmond
p_minorplanet_49|Mustafarmond
p_minorplanet_64|Kaminomond
p_minorplanet_70|Gamorrmond
p_minorplanet_73|Dagobahmond
p_minorplanet_79|Manaanmond
p_minorplanet_84|Christophsismond
p_minorplanet_89|Rylothmond
p_training_ground|Trainingscamp
p_training_ground_1|Trainingsakademie
p_training_ground_2|Trainingsakademie
p_training_ground_3|Trainingsakademie
p_training_ground_4|Trainingsakademie
p_training_ground_5|Trainingsakademie
