p_shipyard_trade_federation|Trade Federation
p_shipyard_kuat|Kuat Shipyards
p_shipyard_raxus|Raxus Prime Shipyards
p_shipyard_corellia|Corellia Shipyards
p_shipyard_moncal|Mon Cal Shipyards
p_shipyard_mandalore|Mandalore Shipyards
p_shipyard_fondor|Fondor Shipyards
p_spacestation_2|Corellia Outpost
p_spacestation_3|Yavin IV Battlestation
p_spacestation_5|Death Star
p_spacestation_6|Endor Outpost
p_spacestation_7|Mon Cal Battlestation
p_spacestation_8|Ryloth Battlestation
p_spacestation_9|Christophsis Battlestation
p_spacestation_10|Kessel Battlestation
p_spacestation_11|Avatar Platform
p_spacestation_12|Manaan Outpost
p_spacestation_13|Christophsis Outpost
p_spacestation_14|Nal Hutta Battlestation
p_spacestation_15|Dantooine Battlestation
p_spacestation_16|Kashyyyk Outpost
p_spacestation_17|Coruscant Outpost
p_spacestation_18|Hoth Battlestation
p_spacestation_20|Gamorr Outpost
p_spacestation_21|Mandalore Battlestation
p_spacestation_22|Manaan Battlestation
p_spacestation_23|Corellia Battlestation
p_spacestation_24|Geonosis Battlestation
p_spacestation_25|Mandalore Outpost
p_spacestation_26|Geonosis Outpost
p_spacestation_27|Kessel Outpost
p_spacestation_29|Hoth Outpost
p_spacestation_30|Tatooine Battlestation
p_spacestation_31|Gamorr Battlestation
p_spacestation_32|Ryloth Outpost
p_spacestation_33|Naboo Outpost
p_spacestation_34|Dantooine Outpost
p_spacestation_35|Naboo Battlestation
p_spacestation_36|Coruscant Battlestation
p_spacestation_37|Yavin IV Outpost
p_spacestation_38|Nal Hutta Outpost
p_spacestation_39|Mon Cal Outpost
p_spacestation_40|Tatooine Outpost
p_minorplanet_7|Hoth Moon
p_minorplanet_8|Bespin Moon
p_minorplanet_15|Corellia Moon
p_minorplanet_19|Bakura Moon
p_minorplanet_20|Mon Cal Moon
p_minorplanet_23|Coruscant Moon
p_minorplanet_25|Tatooine Moon
p_minorplanet_29|Dantooine Moon
p_minorplanet_36|Kessel Moon
p_minorplanet_42|Bothawui Moon
p_minorplanet_45|Dathomir Moon
p_minorplanet_49|Mustafar Moon
p_minorplanet_64|Kamino Moon
p_minorplanet_70|Gamorr Moon
p_minorplanet_73|Dagobah Moon
p_minorplanet_79|Manaan Moon
p_minorplanet_84|Christophsis Moon
p_minorplanet_89|Ryloth Moon
p_training_ground|Training Ground
p_training_ground_1|Training Academy
p_training_ground_2|Training Academy
p_training_ground_3|Training Academy
p_training_ground_4|Training Academy
p_training_ground_5|Training Academy
