pt_rescued_prisoners|Prisioneros Rescatados
pt_enemy|Enemigo
pt_hero_party|Grupo del Jugador
pt_minorplanet_defenders|Defesores Coloniales
pt_cattle_herd|Pastor de Nerfs
pt_jawas|Jawas
pt_bountyhunters|Esclavistas Trandoshanos
pt_night_fang_pirates|Piratas del Colmillo Nocturno
pt_blazing_claw_pirates|Piratas de la Garra Ardiente
pt_tusken_raiders|Asaltantes Tusken
pt_black_sun_pirates|Piratas del Sol Negro
pt_deserters|Desertores
pt_galacticempire_escort|Flota Patrullando
pt_independent_traders|Transporte Mercante
pt_merchant_caravan|Fragata Mercante
pt_troublesome_bandits|Bandidos Problemáticos
pt_bandits_awaiting_ransom|Bandidos esperando Rescate
pt_kidnapped_girl|Muchacha Secuestrada
pt_minorplanet_farmers|Granjeros Coloniales
pt_spy_partners|Viajeros Corrientes
pt_runaway_serfs|Esclavos a la Fuga
pt_spy|Ciudadano Corriente
pt_sacrificed_messenger|Mensajero Sacrificado
pt_forager_party|Grupo de Saqueo
pt_scout_party|Exploradores
pt_patrol_party|Patrulla
pt_messenger_party|Mensajero
pt_raider_party|Asaltantes
pt_raider_captives|Asaltantes Cautivos
pt_faction_caravan_party|Fragatas
pt_prisoner_train_party|Tren de Prisioneros
pt_default_prisoners|Prisioneros por Defecto
pt_center_reinforcements|Refuerzos
pt_faction_hero_party|Grupo de Guerra
