p_shipyard_trade_federation|Fédération du Commerce
p_shipyard_kuat|Chantier de Kuat
p_shipyard_raxus|Chantier de Raxus Prime
p_shipyard_corellia|Chantier de Corellia
p_shipyard_moncal|Chantier de Mon Calamari
p_shipyard_mandalore|Chantier de Mandalore
p_shipyard_fondor|Chantier de Fondor
p_training_ground|Académie d'entraînement
p_training_ground_1|Académie d'entraînement
p_training_ground_2|Académie d'entraînement
p_training_ground_3|Académie d'entraînement
p_training_ground_4|Académie d'entraînement
p_training_ground_5|Académie d'entraînement
