p_shipyard_trade_federation|Federazione dei Mercanti
p_shipyard_kuat|Cantieri di Kuat
p_shipyard_raxus|Cantieri di Raxus Prime
p_shipyard_corellia|Cantieri di Corellia
p_shipyard_moncal|Cantieri di Mon-Cal
p_shipyard_mandalore|Cantieri di Mandalore
p_shipyard_fondor|Cantieri di Fondor
p_spacestation_2|Avamposto di Corellia
p_spacestation_3|Stazione da Guerra di Yavin-IV
p_spacestation_5|La Morte Nera
p_spacestation_6|Avamposto di Endor
p_spacestation_7|Stazione da Guerra di Mon-Cal
p_spacestation_8|Stazione da Guerra di Ryloth
p_spacestation_9|Stazione da Guerra di Christophsis
p_spacestation_10|Stazione da Guerra di Kessel
p_spacestation_11|Piattaforma Avatar
p_spacestation_12|Avamposto di Manaan
p_spacestation_13|Avamposto di Christophsis
p_spacestation_14|Stazione da Guerra di Nal Hutta
p_spacestation_15|Stazione da Guerra di Dantooine
p_spacestation_16|Avamposto di Kashyyyk
p_spacestation_17|Avamposto di Coruscant
p_spacestation_18|Stazione da Guerra di Hoth
p_spacestation_20|Avamposto di Gamorr
p_spacestation_21|Stazione da Guerra di Mandalore
p_spacestation_22|Stazione da Guerra di Manaan
p_spacestation_23|Stazione da Guerra di Corellia
p_spacestation_24|Stazione da Guerra di Genosis
p_spacestation_25|Avamposto di Mandalore
p_spacestation_26|Avamposto di Genosis
p_spacestation_27|Avamposto di Kessel
p_spacestation_29|Avamposto di Hoth
p_spacestation_30|Stazione da Guerra di Tatooine
p_spacestation_31|Stazione da Guerra di Gamorr
p_spacestation_32|Avamposto di Ryloth
p_spacestation_33|Avamposto di Naboo
p_spacestation_34|Avamposto di Dantooine
p_spacestation_35|Stazione da Guerra di Naboo
p_spacestation_36|Stazione da Guerra di Coruscant
p_spacestation_37|Avamposto di Yavin IV
p_spacestation_38|Avamposto di Nal-Hutta
p_spacestation_39|Avamposto di Mon-Cal
p_spacestation_40|Avamposto di Tatooine
p_minorplanet_7|Luna di Hoth
p_minorplanet_8|Luna di Bespin
p_minorplanet_15|Luna di Corellia
p_minorplanet_19|Luna di Bakura
p_minorplanet_20|Luna di Mon-Cal
p_minorplanet_23|Luna di Coruscant
p_minorplanet_25|Luna di Tatooine
p_minorplanet_29|Luna di Dantooine
p_minorplanet_36|Luna di Kessel
p_minorplanet_42|Luna di Bothawui
p_minorplanet_45|Luna di Dathomir
p_minorplanet_49|Luna di Mustafar
p_minorplanet_64|Luna di Kamino
p_minorplanet_70|Luna di Gamorr
p_minorplanet_73|Luna di Degobah
p_minorplanet_79|Luna di Manaan
p_minorplanet_84|Luna di Christophsis
p_minorplanet_89|Luna di Ryloth
p_training_ground|Campo d'Allenamento
p_training_ground_1|Accademia d'Addestramento
p_training_ground_2|Accademia d'Addestramento
p_training_ground_3|Accademia d'Addestramento
p_training_ground_4|Accademia d'Addestramento
p_training_ground_5|Accademia d'Addestramento
