pt_rescued_prisoners|Uwolnieni Jeńcy
pt_enemy|Wróg
pt_hero_party|Drużyna Bohatera
pt_cattle_herd|Stado Nerfów
pt_deserters|Kompania Dezerterów
pt_independent_traders|Konwój Kupiecki
pt_merchant_caravan|Frachtowiec Kupiecki
pt_troublesome_bandits|Kłopotliwi Bandyci
pt_bandits_awaiting_ransom|Bandyci Czekający Na Okup
pt_kidnapped_girl|Pojmane Dziewczę
pt_spy_partners|Grupa Zwyczajnych Podróżnych
pt_runaway_serfs|Uciekający Niewolnicy
pt_spy|Typowy Obywatel
pt_sacrificed_messenger|Podstawiony Posłaniec
pt_forager_party|Plądrująca Drużyna
pt_scout_party|Oddział Zwiadowczy
pt_patrol_party|Patrol
pt_messenger_party|Posłaniec
pt_raider_party|Oddział Najeźdźców
pt_raider_captives|Grupa Jeńców Najeźdźców
pt_prisoner_train_party|Transport Jeńców
pt_default_prisoners|Zwykły więzień
pt_center_reinforcements|Wsparcie
