p_shipyard_trade_federation|Handelsfederationen
p_shipyard_kuat|Kuat Skeppsvarv
p_shipyard_raxus|Raxus Prime Skeppsvarv
p_shipyard_corellia|Corellia Skeppsvarv
p_shipyard_moncal|Mon Cal Skeppsvarv
p_shipyard_mandalore|Mandalore Skeppsvarv
p_shipyard_fondor|Fondor Skeppsvarv
p_spacestation_2|Corellia Utpost
p_spacestation_5|Dödsstjärna
p_spacestation_6|Endor Utpost
p_spacestation_11|Avatar Plattform
p_spacestation_12|Manaan Utpost
p_spacestation_13|Christophsis Utpost
p_spacestation_16|Kashyyyk Utpost
p_spacestation_17|Coruscant Utpost
p_spacestation_20|Gamorr Utpost
p_spacestation_25|Mandalore Utpost
p_spacestation_26|Geonosis Utpost
p_spacestation_27|Kessel Utpost
p_spacestation_29|Hoth Utpost
p_spacestation_32|Ryloth Utpost
p_spacestation_33|Naboo Utpost
p_spacestation_34|Dantooine Utpost
p_spacestation_37|Yavin IV Utpost
p_spacestation_38|Nal Hutta Utpost
p_spacestation_39|Mon Cal Utpost
p_spacestation_40|Tatooine Utpost
p_minorplanet_7|Hoth Måne / Hoths Måne
p_minorplanet_8|Bespin Måne / Bespins Måne
p_minorplanet_15|Corellia Måne / Corellias Måne
p_minorplanet_19|Bakura Måne / Bakuras Måne
p_minorplanet_20|Mon Cal Måne / Mon Cals Måne
p_minorplanet_23|Coruscant Måne / Coruscants Måne
p_minorplanet_25|Tatooine Måne / Tatooines Måne
p_minorplanet_29|Dantooine Måne / Dantooines Måne
p_minorplanet_36|Kessel Måne / Kessels Måne
p_minorplanet_42|Bothawui Måne / Bothawuis Måne
p_minorplanet_45|Dathomir Måne / Dathomirs Måne
p_minorplanet_49|Mustafar Måne / Mustafars Måne
p_minorplanet_64|Kamino Måne / Kaminos Måne
p_minorplanet_70|Gamorr Måne / Gamorrs Måne
p_minorplanet_73|Dagobah Måne / Dagobahs Måne
p_minorplanet_79|Manaan Måne / Manaans Måne
p_minorplanet_84|Christophsis Måne
p_minorplanet_89|Ryloth Måne / Ryloths Måne
p_training_ground|Övningsfält
p_training_ground_1|Tränings Akademi
p_training_ground_2|Tränings Akademi
p_training_ground_3|Tränings Akademi
p_training_ground_4|Tränings Akademi
p_training_ground_5|Tränings Akademi
