pt_rescued_prisoners|Prisonniers secourus
pt_enemy|Ennemi
pt_hero_party|Groupe du Héros
# pt_minorplanet_defenders|Colonial Defenders
pt_cattle_herd|Bétail
# pt_jawas|Jawas
# pt_bountyhunters|Trandoshan Slavers
# pt_night_fang_pirates|Night Fangs Pirates
# pt_blazing_claw_pirates|Blazing Claw Pirates
# pt_tusken_raiders|Tusken Raiders
# pt_black_sun_pirates|Black Sun Pirates
pt_deserters|Déserteurs
# pt_galacticempire_escort|Patrol Fleet
pt_independent_traders|Convoi Marchand
pt_merchant_caravan|Flotte de vaisseau cargo
# pt_miningvessel|Mining Vessel
pt_troublesome_bandits|Bandits gênants
pt_bandits_awaiting_ransom|Ravisseurs
pt_kidnapped_girl|Fille kidnappée
# pt_minorplanet_farmers|Colonial Farmers
pt_spy_partners|Voyageurs
pt_runaway_serfs|Esclaves fugitifs
pt_spy|Citadin ordinaire
pt_sacrificed_messenger|Messager sacrifié
pt_forager_party|Ravitaillement
pt_scout_party|Éclaireurs
pt_patrol_party|Patrouille
pt_messenger_party|Messager
pt_raider_party|Malfaiteurs
pt_raider_captives|Captifs
# pt_faction_caravan_party|Freighters
pt_prisoner_train_party|Transfert de prisonniers
pt_default_prisoners|Prisonniers
pt_center_reinforcements|Renforts
# pt_faction_hero_party|War Party
