fac_no_faction|Nessuna Fazione
fac_commoners|Persone Comuni
fac_outlaws|Fuorilegge
fac_neutral|Neutrali
fac_innocents|Innocenti
fac_merchants|Mercanti
fac_trade_federation|Indipendenti
fac_player_faction|Fazione del giocatore
fac_player_supporters_faction|Fazione del giocatore
fac_galacticempire|Impero Galattico
fac_rebelalliance|Alleanza Ribelle
fac_huttcartel|Cartello Hutt
fac_bountyhunters|Cacciatori di Taglie
fac_deserters|Disertori
fac_black_sun_pirates|Pirati del Sole Nero
fac_blazing_claw_pirates|Pirati dell'Artiglio Fiammante
fac_slavers|Schiavisti
