itm_horse_meat|Hästkött
# itm_practice_boots|Practice Boots
# itm_arena_tunic_white|Arena Tunic White 
# itm_arena_tunic_red|Arena Tunic Red
# itm_arena_tunic_blue|Arena Tunic Blue
# itm_arena_tunic_green|Arena Tunic Green
# itm_arena_tunic_yellow|Arena Tunic Yellow
# itm_book_tactics|Tactics Holocron
# itm_book_persuasion|Persuasion Holocron
# itm_book_leadership|Leadership Holocron
# itm_book_intelligence|Intelligence Holocron
# itm_book_trade|Trade Holocron
# itm_book_weapon_mastery|Weapon Mastery Holocron
itm_book_engineering|Teknik Holocron / Ingenjörings Holocron
itm_book_wound_treatment_reference|2-1B Medicinsk Droid
itm_book_first_aid_reference|Medicinsk Databas
itm_book_tactics_reference|Dejarik Bord
itm_book_trade_reference|Sabacc Kort
itm_book_ironflesh_reference|Sköld
itm_book_horse_archery_reference|Lasersikte
# itm_book_training_reference|Training Remote
# itm_book_surgery_reference|Bacta Tank
itm_smoked_fish|Rökt Fisk
itm_dried_meat|Nerf Biff
itm_cattle_meat|Nerfkött
itm_bantha_steak|Bantha Stek
itm_pork|Fläsk
itm_bread|Bröd
itm_vagnerian_canape|Vagnerian Kanapé
# itm_carbohydrate_pack|Carbohydrate Pack
itm_apples|Äpplen
itm_blue_milk|Blå Mjölk
itm_mujo_fruit|Mujo Frukt
itm_cheese|Christophsis Ost
itm_chicken|Kyckling
# itm_protein_pack|Protein Pack
itm_honey|Honung
itm_sausages|Nerf Korvar
itm_cabbages|Kål
# itm_bristle_melon|Bristle Melon
itm_butter|Bantha Smör
# itm_container_spice_1|Shipment of Ryll Spice
# itm_container_spice_2|Shipment of Gree Spice
# itm_container_spice_3|Shipment of Glitterstim Spice
# itm_container_food_1|Shipment of Vegetables
# itm_container_food_2|Shipment of Carbohydrates
# itm_container_food_3|Shipment of Protein
# itm_container_metal_1|Shipment of Beskar bars
# itm_container_metal_2|Shipment of Durasteel bars
# itm_container_metal_3|Shipment of Bronzium bars
# itm_container_death_sticks|Carton of Death Sticks
# itm_container_drink_1|Shipment of Water
# itm_container_drink_2|Shipment of Black Ale
# itm_container_drink_3|Shipment of Juri juice
# itm_carbonite_tibanna|Carbonite Shipment of Tibanna Gas
# itm_container_ore|Ore container
itm_butter|Bantha Smör
itm_wine|Mandaloriskt Vin
itm_ale|Corellisk Öl
itm_spice|Krydda
# itm_salt|Bassel sea salt
itm_grain|Vete
itm_flour|Mjöl
itm_iron|Durasteel
itm_bacta_injector|Bacta Injektor
itm_bacta_capsule|Bacta Kapsyl
itm_binocular|Makrokikare
# itm_jetpack|Jetpack
itm_oil|Olja
itm_pottery|Geonosisk Keramik
itm_linen|Lashaa Silke
itm_furs|Ewok Pälsar
itm_wookiee_fur|Wookie Päls
# itm_trandoshan_skin|Trandoshan Skin
itm_droid_parts|Droid Delar
itm_wool|Nerf Ull
# itm_velvet|Naboo Velvet
# itm_tools|Hydrospanners
# itm_siege_supply|Supplies
itm_quest_wine|Vin
itm_quest_ale|Öl
# itm_pilgrim_disguise|Pilgrim Disguise
# itm_pilgrim_hood|Pilgrim Hood
# itm_leather_gloves|Leather Gloves
# itm_wrapping_boots|Wrapping Boots
# itm_blue_hose|Blue Hose
# itm_hide_boots|Hide Boots
# itm_ankle_boots|Ankle Boots
# itm_nomad_boots|Nomad Boots
# itm_dress|Dress
# itm_blue_dress|Blue Dress
# itm_peasant_dress|Colonist Dress
# itm_woolen_dress|Woolen Dress
# itm_courtly_outfit|Courtly Outfit
# itm_nobleman_outfit|Nobleman Outfit
# itm_leather_armor|Leather Armor
itm_shirt|Skjorta
# itm_linen_tunic|Linen Tunic
# itm_short_tunic|Rich Tunic
# itm_robe|Robe
# itm_coarse_tunic|Coarse Tunic
# itm_leather_apron|Leather Apron
itm_tabard|Tabard
# itm_leather_vest|Leather Vest
# itm_gambeson|Gambeson
# itm_blue_gambeson|Blue Gambeson
# itm_red_gambeson|Red Gambeson
# itm_padded_cloth|Padded Cloth
# itm_leather_jerkin|Leather Jerkin
# itm_padded_leather|Padded Leather
# itm_straw_hat|Straw Hat
# itm_common_hood|Hood
# itm_headcloth|Headcloth
# itm_woolen_hood|Woolen Hood
# itm_fur_hat|Fur Hat
# itm_padded_coif|Padded Coif
# itm_woolen_cap|Woolen Cap
# itm_felt_hat|Felt Hat
# itm_leather_cap|Leather Cap
# itm_arming_cap|Arming Cap
# itm_female_hood|Lady's Hood
# itm_wooden_stick|Wooden Stick
# itm_club|Club
# itm_cleaver|Cleaver
# itm_knife|Knife
# itm_butchering_knife|Butchering Knife
# itm_hatchet|Hatchet
# itm_quarter_staff|Quarter Staff
itm_throwing_axes|Gammoreanska Kastyxor
# itm_rich_outfit|Rich Outfit
# itm_black_hood|Black Hood
# itm_light_leather|Light Leather
# itm_light_leather_boots|Light Leather Boots
# itm_black_gloves|Black Gloves
# itm_black_gloves_long|Long Black Gloves
# itm_right_hand_glove|Right Hand Glove
# itm_grey_gloves|Grey Gloves
# itm_darkgrey_gloves|Dark Grey Gloves
# itm_lady_gloves|Lady Gloves
# itm_mandalorian_crushgaunts|Mandalorian Crushgaunts
itm_imperial_royal_guard_gloves|Imperisk Royal Guard Handskar
itm_imperial_stormtrooper_gloves|Imperisk Stormtrooper Handskar
# itm_novatrooper_gloves|Novatrooper Gloves
# itm_incinerator_trooper_gloves|Incinerator Trooper Gloves
itm_clone_trooper_gloves_white|Klonsoldat Handskar
