p_shipyard_trade_federation|Handelsfederationen
p_shipyard_kuat|Kuat Skeppsvarv
p_shipyard_raxus|Raxus Prime Skeppsvarv
p_shipyard_corellia|Corellia Skeppsvarv
p_shipyard_moncal|Mon Cal Skeppsvarv
p_shipyard_mandalore|Mandalore Skeppsvarv
p_shipyard_fondor|Fondor Skeppsvarv
 p_mandalore|Mandalore
 p_christophsis|Christophsis
 p_endor|Endor
 p_corellia|Corellia
 p_naboo|Naboo
 p_kessel|Kessel
 p_dantooine|Dantooine
 p_geonosis|Geonosis
 p_mon_cal|Dac
 p_kashyyyk|Kashyyyk
 p_hoth|Hoth
 p_gamorr|Gamorr
 p_yavin_iv|Yavin IV
 p_tatooine|Tatooine
 p_manaan|Manaan
 p_coruscant|Coruscant
 p_ryloth|Ryloth
 p_nalhutta|Nal Hutta
 p_bothawui|Bothawui
 p_mustafar|Mustafar
 p_kamino|Kamino
 p_taris|Taris
 p_raxusprime|Raxus Prime
 p_sarapin|Sarapin
 p_hypori|Hypori
 p_felucia|Felucia
 p_bespin|Bespin
p_spacestation_2|Corellia Utpost
# p_spacestation_3|Yavin IV Battlestation
 p_spacestation_4|Dagobah
p_spacestation_5|Dödsstjärna
p_spacestation_6|Endor Utpost
# p_spacestation_7|Dac Battlestation
# p_spacestation_8|Ryloth Battlestation
# p_spacestation_9|Christophsis Battlestation
# p_spacestation_10|Kessel Battlestation
p_spacestation_11|Avatar Plattform
p_spacestation_12|Manaan Utpost
p_spacestation_13|Christophsis Utpost
# p_spacestation_14|Nal Hutta Battlestation
# p_spacestation_15|Dantooine Battlestation
p_spacestation_16|Kashyyyk Utpost
p_spacestation_17|Coruscant Utpost
# p_spacestation_18|Hoth Battlestation
 p_spacestation_19|Bakura
p_spacestation_20|Gamorr Utpost
# p_spacestation_21|Mandalore Battlestation
# p_spacestation_22|Manaan Battlestation
# p_spacestation_23|Corellia Battlestation
# p_spacestation_24|Geonosis Battlestation
p_spacestation_25|Mandalore Utpost
p_spacestation_26|Geonosis Utpost
p_spacestation_27|Kessel Utpost
 p_spacestation_28|Dathomir
p_spacestation_29|Hoth Utpost
# p_spacestation_30|Tatooine Battlestation
# p_spacestation_31|Gamorr Battlestation
p_spacestation_32|Ryloth Utpost
p_spacestation_33|Naboo Utpost
p_spacestation_34|Dantooine Utpost
# p_spacestation_35|Naboo Battlestation
# p_spacestation_36|Coruscant Battlestation
p_spacestation_37|Yavin IV Utpost
p_spacestation_38|Nal Hutta Utpost
p_spacestation_39|Mon Cal Utpost
p_spacestation_40|Tatooine Utpost
 p_spacestation_41|Rhen Var
