fac_no_faction|Sin Facción
fac_commoners|Población Civil
fac_outlaws|Sin Ley
fac_neutral|Neutral
fac_innocents|Inocentes
fac_merchants|Comerciantes
fac_trade_federation|Independientes
fac_player_faction|Facción del Jugador
fac_player_supporters_faction|Facción del Jugador
fac_galacticempire|Imperio Galáctico
fac_rebelalliance|Alianza Rebelde
fac_huttcartel|Carter Hutt
fac_bountyhunters|Cazadores de Recompensas
fac_deserters|Desertores
fac_black_sun_pirates|Piratas del Sol Negro
fac_blazing_claw_pirates|Piratas de la Garra Ardiente
fac_slavers|Esclavistas
