p_shipyard_trade_federation|Federación de Comercio
p_shipyard_kuat|Astilleros de Kuat
p_shipyard_raxus|Astilleros de Raxus Prime
p_shipyard_corellia|Astilleros de Corellia
p_shipyard_moncal|Astilleros de Mon Cal
p_shipyard_mandalore|Astilleros de Mandalore
p_shipyard_fondor|Astilleros de Fondor
p_spacestation_2|Avanzada de Corellia
p_spacestation_3|Estación de Combate de Yavin IV
p_spacestation_5|Estrella de la Muerte
p_spacestation_6|Avanzada de Endor
p_spacestation_7|Estación de Combate de Mon Cal
p_spacestation_8|Estación de Combate de Ryloth
p_spacestation_9|Estación de Combate de Christophsis
p_spacestation_10|Estación de Combate de Kessel
p_spacestation_11|Plataforma Avatar
p_spacestation_12|Avanzada de Manaan
p_spacestation_13|Avanzada de Christophsis
p_spacestation_14|Estación de Combate de Nal Hutta
p_spacestation_15|Estación de Combate de Dantooine
p_spacestation_16|Avanzada de Kashyyyk
p_spacestation_17|Avanzada de Coruscant
p_spacestation_18|Estación de Combate de Hoth
p_spacestation_20|Avanzada de Gamorr
p_spacestation_21|Estación de Combate de Mandalore
p_spacestation_22|Estación de Combate de Manaan
p_spacestation_23|Estación de Combate de Corellia
p_spacestation_24|Estación de Combate de Geonosis
p_spacestation_25|Avanzada de Mandalore
p_spacestation_26|Avanzada de Geonosis
p_spacestation_27|Avanzada de Kessel
p_spacestation_29|Avanzada de Hoth
p_spacestation_30|Estación de Combate de Tatooine
p_spacestation_31|Estación de Combate de Gamorr
p_spacestation_32|Avanzada de Ryloth
p_spacestation_33|Avanzada de Naboo
p_spacestation_34|Avanzada de Dantooine
p_spacestation_35|Estación de Combate de Naboo
p_spacestation_36|Estación de Combate de Coruscant
p_spacestation_37|Avanzada de Yavin IV
p_spacestation_38|Avanzada de Nal Hutta
p_spacestation_39|Avanzada de Mon Cal
p_spacestation_40|Avanzada de Tatooine
p_minorplanet_7|Luna de Hoth
p_minorplanet_8|Luna de Bespin
p_minorplanet_15|Luna de Corellia
p_minorplanet_19|Luna de Bakura
p_minorplanet_20|Luna de Mon Cal
p_minorplanet_23|Luna de Coruscant
p_minorplanet_25|Luna de Tatooine
p_minorplanet_29|Luna de Dantooine
p_minorplanet_36|Luna de Kessel
p_minorplanet_42|Luna de Bothawui
p_minorplanet_45|Luna de Dathomir
p_minorplanet_49|Luna de Mustafar
p_minorplanet_64|Luna de Kamino
p_minorplanet_70|Luna de Gamorr
p_minorplanet_73|Luna de Dagobah
p_minorplanet_79|Luna de Manaan
p_minorplanet_84|Luna de Christophsis
p_minorplanet_89|Luna de Ryloth
p_training_ground|Academia de Entrenamiento
p_training_ground_1|Academia de Entrenamiento
p_training_ground_2|Academia de Entrenamiento
p_training_ground_3|Academia de Entrenamiento
p_training_ground_4|Academia de Entrenamiento
p_training_ground_5|Academia de Entrenamiento
