fac_no_faction|Žádná frakce
fac_commoners|Prostí
fac_outlaws|Bandité
fac_neutral|Neutrální
fac_innocents|Nevinní
fac_merchants|Obchodníci
fac_trade_federation|Nezávislý
fac_player_faction|Hráčova frakce
fac_player_supporters_faction|Hráčova frakce
fac_galacticempire|Galaktické impérium
fac_rebelalliance|Rebelská aliance
fac_huttcartel|Huttský kartel
fac_bountyhunters|Námezdního lovci
fac_deserters|Desertéři
fac_black_sun_pirates|Piráti černého slunce
fac_blazing_claw_pirates|Piráti planoucího drápu
fac_slavers|Otrokáři
