itm_horse_meat|Koňské maso
itm_practice_boots|Boty na cvičení
itm_arena_tunic_white|Aréní bílá tunika 
itm_arena_tunic_red|Aréní červená tunika
itm_arena_tunic_blue|Aréní modrá tunika
itm_arena_tunic_green|Aréní zelená tunika
itm_arena_tunic_yellow|Aréní žlutá tunika
itm_book_tactics|Taktický holocron
itm_book_persuasion|Přesvědčovací holocron
itm_book_leadership|Vůdcovský Holocron
itm_book_intelligence|Holocron inteligence
itm_book_trade|Obchodní holocron
itm_book_weapon_mastery|Holokron zbraňového mistrovstvý
itm_book_engineering|Inženirský holocron
itm_book_wound_treatment_reference|2-1B Zdravotnický droid
itm_book_first_aid_reference|Zdravotnická databáze
itm_book_tactics_reference|Stůl s dejarikem
itm_book_trade_reference|Karty Sabaccu
itm_book_ironflesh_reference|Osobní štít
itm_book_horse_archery_reference|Laserová optika
itm_book_training_reference|Trénink dálky
itm_book_surgery_reference|Bacta nádržka
itm_smoked_fish|Uzená ryba
itm_dried_meat|Nerfí řízek
itm_cattle_meat|Nerfí maso
itm_bantha_steak|Banthý steak
itm_pork|Vepřové
itm_bread|Chleba
itm_vagnerian_canape|Vagnerianská pohovka
itm_carbohydrate_pack|Carbohydrate
itm_apples|Jablka
itm_blue_milk|Modré mléko
itm_mujo_fruit|Mujo ovoce
itm_cheese|Christophsiský sýr
itm_chicken|Kuře
itm_protein_pack|Balíček proteinů
itm_honey|Med
itm_sausages|Nerfí párky
itm_cabbages|Zelí
itm_bristle_melon|Bristleský meloun
itm_butter|Bathý máslo
itm_container_spice_1|Náklad Ryllského koření
itm_container_spice_2|Náklad Greeského koření
itm_container_spice_3|Náklad Glitterstimského koření
itm_container_food_1|Náklad zeleniny
itm_container_food_2|Náklad carbohydratů
itm_container_food_3|Náklad proteinů
itm_container_metal_1|Náklad Beskarských tyčí
itm_container_metal_2|Náklad Durasteelských tyčí
itm_container_metal_3|Náklad tyčí z bronzia
itm_container_death_sticks|Karton mrtvých tyčí
itm_container_drink_1|Náklad vody
itm_container_drink_2|Náklad černého piva
itm_container_drink_3|Náklad Juri ovoce
itm_carbonite_tibanna|Carbonitový náklad Tibannského plynu
itm_container_ore|Nádoba na rudu
itm_butter|Bathý máslo
itm_wine|Mandalorianské víno
itm_ale|Corellianské pivo
itm_spice|Koření
itm_salt|Basselská mořská sůl
itm_grain|Pšenice
itm_flour|Mouka
itm_iron|Durasteel
itm_bacta_injector|Bacta Injekce
itm_bacta_capsule|Bacta kapsule
itm_binocular|Macrodalekohled
itm_jetpack|Jetpack
itm_oil|Ropa
itm_pottery|Geonosianská keramika
itm_linen|Lashaaské hedvábí
itm_furs|Ewokské kůže
itm_wookiee_fur|Wookieeská kožešina
itm_trandoshan_skin|Trandoshanská kůže
itm_droid_parts|Droidí části
itm_wool|Nerfí vlna
itm_velvet|Nabooský samet
itm_tools|Hydroklíče
itm_siege_supply|Zásoby
itm_quest_wine|Víno
itm_quest_ale|Pivo
itm_pilgrim_disguise|Poutníkovo maskování
itm_pilgrim_hood|Poutníkova kápě
itm_leather_gloves|Kožené rukavice
itm_wrapping_boots|Obalovací boty
itm_blue_hose|Modrá hadice
