p_shipyard_trade_federation|Obchodní federace
p_shipyard_kuat|Kuatské loděnice
p_shipyard_raxus|Raxus Primeské loděnice
p_shipyard_corellia|Corellijské loděnice
p_shipyard_moncal|Dacské loděnice
p_shipyard_mandalore|Mandalorské loděnice
p_shipyard_fondor|Fondorské loděnice
p_mandalore|Mandalore
p_christophsis|Christophsis
p_endor|Endor
p_corellia|Corellie
p_naboo|Corellia
p_kessel|Kessel
p_dantooine|Dantooin
p_geonosis|Geonosis
p_mon_cal|Dac
p_kashyyyk|Kashyyyk
p_hoth|Hoth
p_gamorr|Hoth
p_yavin_iv|Yavin IV
p_tatooine|Tatooine
p_manaan|Manaan
p_coruscant|Coruscant
p_ryloth|Ryloth
p_nalhutta|Nal Hutta
p_bothawui|Bothawui
p_mustafar|Mustafar
p_kamino|Kamino
p_taris|Taris
p_raxusprime|Raxus Prime
p_sarapin|Sarapin
p_hypori|Hypori
p_felucia|Felucia
p_bespin|Bespin
p_spacestation_2|Corellijská základna
p_spacestation_3|Yavin IV Stanice
p_spacestation_4|Dagobah
p_spacestation_5|Hvězda smrti
p_spacestation_6|Endorská základna
p_spacestation_7|Dacská stanice
p_spacestation_8|Rylothská stanice
p_spacestation_9|Christophsiská stanice
p_spacestation_10|Kesselská stanice
p_spacestation_11|Avatarská plošina
p_spacestation_12|Manaanská základna
p_spacestation_13|Christophsiská základna
p_spacestation_14|Nal Huttská stanice
p_spacestation_15|Dantooinská stanice
p_spacestation_16|Kashyyykská základna
p_spacestation_17|Coruscantská základna
p_spacestation_18|Hothská stanice
p_spacestation_19|Bakura
p_spacestation_20|Gamorrská základna
p_spacestation_21|Mandalorská stanice
p_spacestation_22|Manaanská stanice
p_spacestation_23|Corellijská stanice
p_spacestation_24|Geonosiská stanice
p_spacestation_25|Mandalórská základna
p_spacestation_26|Geonosiská základna
p_spacestation_27|Kesselská základna
p_spacestation_28|Dathomir
p_spacestation_29|Hothská základna
p_spacestation_30|Tatooinská stanice
p_spacestation_31|Gamorrská stanice
p_spacestation_32|Rylothská základna
p_spacestation_33|Naboo základna
p_spacestation_34|Dantooinská základna
p_spacestation_35|Nabooská stanice
p_spacestation_36|Coruscantská stanice
p_spacestation_37|Yavin IV základna
p_spacestation_38|Nal Huttská základna
p_spacestation_39|Dacská základna
p_spacestation_40|Tatooinská základna
p_spacestation_41|Rhen Var
p_spacestation_42|Saleucami
p_minorplanet_1|Honoghr
p_minorplanet_2|Chandrila
p_minorplanet_3|Tholatin
