pt_rescued_prisoners|Zachránění vězni
pt_enemy|Nepřítel
pt_hero_party|Tvoje skupina
pt_minorplanet_defenders|Obrana kolonie
pt_cattle_herd|Pasák Nerfů
pt_jawas|Jawové
pt_bountyhunters|Trandoshanští otrokáři
pt_night_fang_pirates|Piráti nočních tesáků
pt_blazing_claw_pirates|Piráti planoucího drápu
pt_tusken_raiders|Tuskenští nájezdníci
pt_black_sun_pirates|Piráti černého slunce
pt_deserters|Desertéři
pt_galacticempire_escort|Patrola flotily
pt_independent_traders|Konvoj obchodníků
pt_merchant_caravan|Nákladní loď obchodníků
pt_miningvessel|Težařská loď
pt_troublesome_bandits|Problémový banditi
pt_bandits_awaiting_ransom|Banditi čekají na výkupné
pt_kidnapped_girl|Unešená dívka
pt_minorplanet_farmers|Farmáři kolonie
pt_spy_partners|Všední cestovatel
pt_runaway_serfs|Uprchlý otroci
pt_spy|Obyvatel
pt_sacrificed_messenger|Obětovaný posel
pt_forager_party|Rozhlížející se skupina
pt_scout_party|Skauti
pt_patrol_party|Patrola
pt_messenger_party|Posel
pt_raider_party|Nájezdníci
pt_raider_captives|Zajatci nájezdníků
pt_faction_caravan_party|Nákladní lodě
pt_prisoner_train_party|Loď s otroky
pt_default_prisoners|Normální vězni
pt_center_reinforcements|Posily
pt_faction_hero_party|Válečná skupina
