fac_no_faction|Ingen faktion.
fac_commoners|Borgere
fac_outlaws|Banditter
fac_neutral|Neutral
fac_innocents|Uskyldige
fac_merchants|Handelsfolk
fac_trade_federation|Uafhængige
fac_player_faction|Spiller Faktion
fac_player_supporters_faction|Spiller Faktion
fac_galacticempire|Galaktiske Imperium
fac_rebelalliance|Oprørenes Alliance
fac_huttcartel|Hutt Kartel
fac_bountyhunters|Dusørjægerne
fac_deserters|Desertør
fac_black_sun_pirates|Sorte Sol Pirater
fac_blazing_claw_pirates|Glødende Klo Pirater
fac_slavers|Slavehandlere
