pt_rescued_prisoners|Reddet Fanger
pt_enemy|Fjende
pt_hero_party|Helte Gruppe
pt_minorplanet_defenders|Kolonial Beskyttere
pt_cattle_herd|Nerf Flok
pt_jawas|Jawaer
pt_bountyhunters|Trandoshan Slavehandlere
pt_night_fang_pirates|Natte Hugtand Pirater
pt_blazing_claw_pirates|Gloende Klo Pirater
pt_tusken_raiders|Tusken Røvere
pt_black_sun_pirates|Sorte Sol Pirater
pt_deserters|Desertør
pt_galacticempire_escort|Patrulje Flåde
pt_independent_traders|Handels Konvoj
pt_merchant_caravan|Handels Fragtskib
pt_miningvessel|Minedrifts Fartøj
pt_troublesome_bandits|Uagtige Banditter
pt_bandits_awaiting_ransom|Banditter der afventer løsesum
pt_kidnapped_girl|Kidnappet Pige
pt_minorplanet_farmers|Kolonial Bonde
pt_spy_partners|Uvigtige Rejsende
pt_runaway_serfs|Flygtede Slaver
pt_spy|Normal Kolonist
pt_sacrificed_messenger|Ofret Budsmand
pt_forager_party|fouragering grubbe
pt_scout_party|Spejdere
pt_patrol_party|Patrulje
pt_messenger_party|Budsmand
pt_raider_party|Røvere
pt_raider_captives|Røver Fanger
pt_faction_caravan_party|Fragtskibe
pt_prisoner_train_party|Fange Tog
pt_default_prisoners|Standard Fanger
pt_center_reinforcements|Forstærkninger
pt_faction_hero_party|Krigs Grubbe
