fac_no_faction|Keine Fraktion
fac_commoners|Gemeine
fac_outlaws|Gesetzlose
fac_neutral|Neutral
fac_innocents|Unschuldige
fac_merchants|Händler
fac_trade_federation|Handelsförderation
fac_player_faction|Spielerfraktion
fac_player_supporters_faction|Spielerfraktion
fac_galacticempire|Galaktisches Imperium
fac_rebelalliance|Rebellenallianz
fac_huttcartel|Huttkartell
fac_bountyhunters|Kopfgeldjäger
fac_deserters|Deserteure
fac_black_sun_pirates|Schwarze Sonne
fac_blazing_claw_pirates|Flammende-Klaue-Piraten
fac_slavers|Sklaventreiber
