pt_rescued_prisoners|Befreite Gefangene
pt_enemy|Feind
pt_hero_party|Heldentrupp
pt_cattle_herd|Nerf Herde
pt_deserters|Deserteure
pt_independent_traders|Handelsförderations-Konvoy
pt_merchant_caravan|Handels-Frachter
pt_troublesome_bandits|Lästige Banditen
pt_bandits_awaiting_ransom|Lösegeld erwartende Banditen
pt_kidnapped_girl|Entführtes Mädchen
pt_spy_partners|Unauffällige Reisende
pt_runaway_serfs|Flüchtige Sklaven
pt_spy|Gewöhnlicher Städter
pt_sacrificed_messenger|Geopferter Bote
pt_forager_party|Nahrungssuchende
pt_scout_party|Späher
pt_patrol_party|Patrouille
pt_messenger_party|Bote
pt_raider_party|Räuber
pt_raider_captives|Gefangene der Räuber
pt_prisoner_train_party|Gefangenenzug
pt_default_prisoners|Einfache Gefangene
pt_center_reinforcements|Verstärkung
