# TRADUCCIÓN DE STAR WARS CONQUEST - ESPAÑOL
# CREADO POR SWYTER, TODOS LOS DERECHOS RESERVADOS.
# CONTACTO: MANDA UN MENSAJE PERSONAL EN FORUMS.TALEWORLDS.COM A "SWYTER"

qstr_Type_your_Kingdom_s_|Escribe el nombre de tu Facción:
qstr_Accept|Aceptar
qstr_Reset|Reiniciar
qstr_Cancel|Cancelar
qstr_{s10}|{s10}
qstr_Player_Kingdom_name_|Nombre de tu Facción cambiado.
qstr_Nothing_to_delete!|¡Nada que borrar!
qstr_Next_Page|Next Page
qstr_Candidate_#1:_{s1}|Candidato nº 1: {s1}
qstr_Candidate_#2:_{s1}|Candidato nº 2: {s1}
qstr_{s3}_of_{s4}_wishes_|{s3} de {s4} quiere elegir a un nuevo General Supremo y te invita a una reunión. {s1} y {s2} son los candidatos favoritos.
qstr_Continue...|Continuar...
qstr_Who_do_you_wish_to_s|¿A quién quieres apoyar?
qstr_{s1}|{s1}
qstr_{s1}_gives_his_suppo|{s1} da su apoyo a {s2}.
qstr_Number_of_Supporters|Número de votos: {reg0}
qstr_{s2}_has_heard_his_v|{s2} escucha a sus lugartenientes. Elige a {s1} como el General Supremo de {s3}.
qstr_Action|Acción
qstr_Mount|Montar
qstr_Attack_Type|Tipo de Ataque
qstr_Hold_This_Position|Mantener la posición
qstr_Follow_Me|Seguir
qstr_Charge|Cargar
qstr_Advance|Avanzar
qstr_Fall_Back|Retroceder
qstr_Stand_Closer|Mantenerse cerca
qstr_Spread_Out|Distribuirse
qstr_Stand_Ground|Mantener en el Terreno
qstr_Dismount|Desmontar
qstr_Use_Any_Weapon|Usar cualquier arma
qstr_Use_Blunt_Weapons|Usar armas cuerpo a cuerpo
qstr_Hold_Your_Fire|Disparar
qstr_Fire_At_Will|Fuego a discreción
qstr_Us|Nosotros
qstr_Enemies|Enemigos
qstr_Ready|Preparados
qstr_Wounded|Desmayados
qstr_Dead|Muertos
qstr_Allies|Aliados
qstr_Number_of_men_knocke|Número de tropas inconscientes: {reg1}
qstr_Number_of_men_left:_|Número de tropas ilesas: {reg1}
qstr_Opponents_Beaten:_{r|Oponentes vencidos: {reg1}
qstr_Opponents_Remaining:|Oponentes vivos: {reg1}
qstr_Remain_in_retirement|Retirarse.
qstr_Go_back_to_the_adven|Volver a la Aventura.
qstr_You_have_retired_at_|Te has retirado en el nivel {reg4} después de {reg5} dias de aventura.
qstr_Effect_on_Score|Puntuación
qstr_Settlements_owned_by|Tus Planetas: {reg0}
qstr_{reg0?+:}{reg0}|{reg0?+:}{reg0}
qstr_Friendly_Settlements|Planetas Aliados: {reg0}
qstr_Hostile_Settlements:|Planetas Enemigos: {reg0}
qstr_{reg0}|{reg0}
qstr_Friendly_Lords:_{reg|Comandantes Aliados: {reg0}
qstr_Enemy_Lords:_{reg0}|Comandantes Enemigos: {reg0}
qstr_Victories:_{reg0}|Victorias: {reg0}
qstr_Defeats:_{reg0}|Derrotas: {reg0}
qstr_Quests_Completed:_{r|Misiones Completadas: {reg0}
qstr_Companions_Found:_{r|Compañeros encontrados: {reg0}
qstr_Companions_Lost/Depa|Compañeros perdidos/despedidos: {reg0}
qstr_Wealth:_{reg0}_credi|Dinero: {reg0} créditos
qstr_Inventory:_{reg0}_cr|Inventory: {reg0} créditos
qstr_Renown:_{reg0}|Renombre: {reg0}
qstr_Experience:_{reg0}|Experiencia: {reg0}
qstr_Days_Passed:_{reg0}|Dias: {reg0}
qstr_Difficulty:_{reg0}%|Dificultad: {reg0}%
qstr_{reg3?+:}{reg0}|{reg3?+:}{reg0}
qstr_TOTAL_SCORE:_{reg0}|PUNTUACIÓN TOTAL: {reg0}
qstr_Hit|Apostar
qstr_Stay|No Apostar
qstr_Double|Apuesta Doble
qstr_Bet:_{reg51}_credits|Apostado: {reg51} créditos
qstr_Money:_{reg1}_credit|Dinero: {reg1} créditos
qstr_Done|Hecho
qstr_Draw_all_bets_are_re|Retirado, todos los créditos se han recuperado
qstr_The_dealer_has_a_per|¡Ha hecho una mano perfecta! ¡Has perdido el 50% de lo apostado!
qstr_You_have_a_perfect_h|You have a perfect hand! You win 50% more of your bets!
qstr_Bet:_0_credits|Apuesta: 0 créditos
qstr_The_dealers_hand_val|Su mano está por encima de 21 puntos. ¡Has Ganado!
qstr_Your_hand_value_is_o|Tu mano está por encima de 21 puntos. ¡Has Perdido!
qstr_The_dealer_has_a_hig|Su puntuación es la más alta. ¡Has Perdido!
qstr_You_have_a_higher_ha|Tu puntuación es la más alta. ¡Has Ganado!
qstr_You_lose._Try_again?|Has perdido. ¿Intentar otra vez?
qstr_You_win!_Try_again?|Has ganado. ¿Intentar otra vez?
qstr_Draw._Try_again?|Retirado. ¿Intentar otra vez?
qstr_Yes_| Sí
qstr__No| No
qstr_Dealer_stays.|Mantiene la mano.
qstr_You_don_t_have_enoug|No tienes suficiente dinero.
qstr_You_stay.|Mantienes la mano.
qstr_Double_bets!_You_can|¡Apuesta Doble! Solo puedes coger una carta más.
qstr_Not_right_now.|Mal intento.
qstr__Return_to_menu_| Volver al menú
qstr_Strength|Fuerza
qstr_Riding|Vehículos
qstr_Pdraw|Tiro
qstr_Pthrow|Fuerza
qstr_1_hand|1-mano
qstr_2_hand|2-manos
qstr_Polearm|Polearm
qstr_Archery|Archery
qstr__X_bow_| X-bow 
qstr_Throwing_|Throwing 
qstr___Firearms|  Firearms
qstr__Mode| Mode
qstr__to_next_lvl_|(to next lvl)
qstr__1.0_| 1.0 
qstr_If_you_can_see_this_|If you can see this, buy a new cpu.
qstr__Weapons____________|-Weapons-                                                              -Equipment-
qstr_________________n/a_|                n/a                
qstr_{s9}|{s9}
qstr_{reg1}|{reg1}
qstr_Rides|Monta
qstr_Walks|Camina
qstr_{reg1}_credits|{reg1} créditos
qstr_^^_The_price_is_{reg|^^ El precio es de {reg1} créditos
qstr_{s10}^^Upgrade_Detai|{s10}^^Upgrade Details:^^    Base Speed: {reg2}^    Drive: {reg3} of {reg4}^    Scanner: {reg5} of {reg6}^    Combat Computer: {reg7} of {reg8}^    Troop Capacity: {reg9} of {reg10}^    Medical Bay: {reg11} of {reg12}^    Prisoner Capacity: {reg13} of {reg14}^    Trade Computer: {reg15} of {reg16}^    Cargo Capacity: {reg17} of {reg18}
qstr_Shipyard_Stock_List_|Lista de Naves Disponibles - seleciona la nave que quieres comprar o ver.
qstr_{s3}|{s3}
qstr_{s5}|{s5}
qstr_Buy_the_ship|Comprar la Nave
qstr_Go_back...|Volver...
qstr_You_have_{reg45}_cre|Tienes {reg45} créditos
qstr_view|Ver
qstr_The_{s3}_is_waiting_|{s3} te está esperando en la plataforma de despegue.
qstr_Ship_Details|Detalles de la nave
qstr_Ship_system|Sistema de la Nave
qstr_Current|Actual
qstr_Max|Max
qstr_Upgrade_price__credi|Mejorar el precio (creditos)
qstr_Drive|Unidad
qstr_Scanners|Escaners
qstr_Troop_Capacity|Capacidad de Tropas
qstr_Prisoner_Capacity|Capacidad de Prisioneros
qstr_Cargo_Capacity|Capacidad de carga
qstr_Combat_Computer|Ordenador de Combate
