fac_no_faction|Ei puoluetta
fac_commoners|aateliton
fac_outlaws|Lainsuojattomat
fac_neutral|Neutraali
fac_innocents|Viattomat
fac_merchants|Kauppiaat
fac_trade_federation|Itsenäinen
fac_player_faction|Pelaajan puolue
fac_player_supporters_faction|Pelaajan puolue
fac_galacticempire|Galaktinen Valtakunta
fac_rebelalliance|Kapinallinen liittouma
fac_huttcartel|Hutt Cartel
fac_bountyhunters|Palkkionmetsästäjät
fac_deserters|Karkurit
fac_black_sun_pirates|Mustan auringon piraatit
fac_blazing_claw_pirates|Paahtavan kynnen piraatit
fac_slavers|Orjuuttajat
