hint_1|Olkoon voima kanssasi.
hint_2|Hubadaba uskonnosta ja antiikin aseista ei ole vastusta kunnon räiskinnälle puolellanne, poika.
hint_3|Tee tai älä... Turha yrittää
hint_4|Uskollisuuden puutteesi on mielestäni häiritsevä.
hint_5|Auta minua, Obi-Wan Kenobi; Olet ainoa toivoni!
hint_6|Jonkun täytyy pelastaa nahkamme. Roskakuiluun, lento poika!
hint_7|Tämän voima on vahva.
hint_8|Nopea laiva? Oletko koskaan kuullut MIllenium Falconista?
hint_9|Loistava tyttö. Aion joko tappaa hänet tai alan pitää hänestä.
hint_10|Etkös ole aika lyhyt stormtroopperiksi?
hint_11|Veisikö joku tämän ison kävelevän maton pois tieltäni?
hint_12|WOHOOO!  Voit ryhtyä toimintaan, poika. Nyt räjäytetään tämä ja mennään kotiin!
hint_13|Taitaa olla aika kun demonstroimme tämän aseman täyden voiman. Aseta kurssisi Alderaan.
hint_14|Kauan sitten, kaukaisessa galaksissa
hint_15|Hyvä kaukoohjattavia vastaan yksi asia. Hyvä eläviä vastaan on taas asia erikseen
hint_16|Hän on aivot, muruseni!
hint_17|Miksi olet leuhka, vähä-älyinen, rähjäinen Nörtti hörtti!
hint_18|Kuka on rähjäinen?
