p_shipyard_trade_federation|Kauppaliitto
p_shipyard_kuat|Kuatin satama
p_shipyard_raxus|Raxus Primen satama
p_shipyard_corellia|Corellian satama
p_shipyard_moncal|Dacin satama
p_shipyard_mandalore|Mandalorean satama
p_shipyard_fondor|Fondorin satama
p_mandalore|Mandalore
p_christophsis|Christophsis
p_endor|Endor
p_corellia|Corellia
p_naboo|Naboo
p_kessel|Kessel
p_dantooine|Dantooine
p_geonosis|Geonosis
p_mon_cal|Dac
p_kashyyyk|Kashyyk
p_hoth|Hoth
p_gamorr|Gamorr
p_yavin_iv|Yavin IV
p_tatooine|Tatooine
p_manaan|Manaan
p_coruscant|Coruscant
p_ryloth|Ryloth
p_nalhutta|Nal Hutta
p_bothawui|Bothawui
p_mustafar|Mustafar
p_kamino|Kamino
p_taris|Taris
p_raxusprime|Raxus Prime
p_sarapin|Sarapin
p_hypori|Hypori
p_felucia|Felucia
p_bespin|Bespin
p_spacestation_2|Corellian etuvartioasema
p_spacestation_3|Yavin IV:n taisteluasema
p_spacestation_4|Dagobah
p_spacestation_5|Kuoleman Tähti
p_spacestation_6|Endorin etuvartioasema
p_spacestation_7|Dacin taisteluasema
p_spacestation_8|Rylothin taisteluasema
p_spacestation_9|Christophsin taisteluasema
p_spacestation_10|Kesselin taisteluasema
p_spacestation_11|Avatar alusta
p_spacestation_12|Manaan etuvartioasema
p_spacestation_13|Christophsis etuvartioasema
p_spacestation_14|Nal Huttan taisteluasema
p_spacestation_15|Dantooinen taisteluasema
p_spacestation_16|Kashyykin etuvartioasema
p_spacestation_17|Coruscantin etuvartioasema
p_spacestation_18|Hothin taisteluasema
p_spacestation_19|Bakura
p_spacestation_20|Gamorrin etuvartioasema
p_spacestation_21|Mandaloren taisteluasema
p_spacestation_22|Manaan taisteluasema
p_spacestation_23|Corellian taisteluasema
p_spacestation_24|Geonosian taisteluasema
p_spacestation_25|Mandaloren etuvartioasema
p_spacestation_26|Geonosin etuvartioasema
p_spacestation_27|Kesselin etuvartioasema
p_spacestation_28|Dathomir
p_spacestation_29|Hothin etuvartioasema
p_spacestation_30|Tatooinen taisteluasema
p_spacestation_31|Gamorrin taisteluasema
p_spacestation_32|Rylothin etuvartioasema
p_spacestation_33|Naboon etuvartioasema
p_spacestation_34|Dantooinen etuvartioasema
p_spacestation_35|Naboon taisteluasema
p_spacestation_36|Coruscantin taisteluasema
p_spacestation_37|Yavin IV:n etuvartioasema
p_spacestation_38|Nal Huttan etuvartioasema
p_spacestation_39|Dacin etuvartioasema
p_spacestation_40|Tatooinen etuvartioasema
p_spacestation_41|Rhen Var
p_spacestation_42|Saleucami
p_minorplanet_1|Honoghr
p_minorplanet_2|Chandrila
p_minorplanet_3|Tholatin
p_minorplanet_4|Ilum
p_minorplanet_5|Sernpidal
p_minorplanet_6|Velmor
p_minorplanet_7|Hothin kuu
p_minorplanet_8|Bespinin kuu
p_minorplanet_9|Dubrillion
p_minorplanet_10|Riflor
p_minorplanet_11|Siskeen
p_minorplanet_12|Rakata Prime
p_minorplanet_13|Myrkr
p_minorplanet_14|Ziost
p_minorplanet_15|Corellian kuu
p_minorplanet_16|Vargnat
p_minorplanet_17|Lannik
p_minorplanet_18|Fondor
p_minorplanet_19|Bakuran kuu
p_minorplanet_20|Dacin kuu
p_minorplanet_21|Isde Naha
p_minorplanet_22|Duro
p_minorplanet_23|Coruscantin kuu
p_minorplanet_24|Anoth
p_minorplanet_25|Tatooinen kuu
p_minorplanet_26|Rori
p_minorplanet_27|Bilbringi
p_minorplanet_28|Tynna
p_minorplanet_29|Dantooinen kuu
p_minorplanet_30|Corulag
p_minorplanet_31|Togoria
p_minorplanet_32|Gall
p_minorplanet_33|Muunulist
p_minorplanet_34|Ruuria
p_minorplanet_35|Iridonia
p_minorplanet_36|Kesselin kuu
p_minorplanet_37|Bimmsari
p_minorplanet_38|Belkadan
p_minorplanet_39|Helska
p_minorplanet_40|Saki
p_minorplanet_41|Nar Shaddaa
p_minorplanet_42|Bothawuin kuu
p_minorplanet_43|Alzoc III
p_minorplanet_44|Ruusan
p_minorplanet_45|Dathomirin kuu
p_minorplanet_46|Yag'Dhul
p_minorplanet_47|Selvaris
p_minorplanet_48|Sump
p_minorplanet_49|Mustafarin kuu
p_minorplanet_50|Dosuun
p_minorplanet_51|Yaga Minor
p_minorplanet_52|Nar Kretaa
p_minorplanet_53|Pzob
p_minorplanet_54|Barab I
p_minorplanet_55|Lamaredd
p_minorplanet_56|Ithor
p_minorplanet_57|Kuat
p_minorplanet_58|Rodia
p_minorplanet_59|Bastion
p_minorplanet_60|Anobis
p_minorplanet_61|Thisspias
p_minorplanet_62|Vjun
p_minorplanet_63|Drongar
p_minorplanet_64|Kaminon kuu
p_minorplanet_65|Mimban
p_minorplanet_66|Alaris Prime
p_minorplanet_67|Wayland
p_minorplanet_68|Vulpter
p_minorplanet_69|Bimmiel
p_minorplanet_70|Gamorrin kuu
p_minorplanet_71|Concordia
p_minorplanet_72|Bogden
p_minorplanet_73|Dagobahin kuu
p_minorplanet_74|Roon
p_minorplanet_75|Almania
p_minorplanet_76|Obroa Skai
p_minorplanet_77|Ord Mantell
p_minorplanet_78|Charros IV
p_minorplanet_79|Manaan kuu
p_minorplanet_80|N'Zoth
p_minorplanet_81|Brentaal
p_minorplanet_82|Garqi
p_minorplanet_83|Xal 3
p_minorplanet_84|Christophsin kuu
