pt_rescued_prisoners|Pelastetut Vangit
pt_enemy|Vihollinen
pt_hero_party|Sankari ryhmä
pt_minorplanet_defenders|Siirtomaa puolustajat
pt_cattle_herd|Nerf lauma
pt_jawas|Jawat
pt_bountyhunters|Trandoshalaiset Orjuuttajat
pt_night_fang_pirates|Yön kulmahammas piraatit
pt_blazing_claw_pirates|Paahtavan kynnen piraatit
pt_tusken_raiders|Syöksyhammas ryöstäjät
pt_black_sun_pirates|Mustan auringon piraatit
pt_deserters|Karkulaiset
pt_galacticempire_escort|Partio laivasto
pt_independent_traders|Kauppa saattue
pt_merchant_caravan|Kaupparahti
pt_miningvessel|Kaivosalus
pt_troublesome_bandits|Hankalat rosvot
pt_bandits_awaiting_ransom|Rosvot odottavat lunnaita
pt_kidnapped_girl|KIdnapattu tyttö
pt_minorplanet_farmers|Siirtomaa viljelijät
pt_spy_partners|Merkitsemättömät matkailijat
pt_runaway_serfs|Karanneet orjat
pt_spy|Tavallinen siirtolainen
pt_sacrificed_messenger|Uhrautunut lähettiläs
pt_forager_party|Ruokaa etsivä joukko
pt_scout_party|Tiedustelijat
pt_patrol_party|Partio
pt_messenger_party|Lähettiläs
pt_raider_party|Ryöstäjät
pt_raider_captives|Ryöstäjä vangit
pt_faction_caravan_party|Rahtilaivat
pt_prisoner_train_party|Vanki juna
pt_default_prisoners|Normaalit Vangit
pt_center_reinforcements|Apujoukot
pt_faction_hero_party|Sotaryhmä
