fac_no_faction|Aucune faction
fac_commoners|Roturier
fac_outlaws|Hors-la-loi
fac_neutral|Neutre
fac_innocents|Innocents
fac_merchants|Négociants
fac_trade_federation|Indépendant
fac_player_faction|Faction du joueur
fac_player_supporters_faction|Faction du joueur
fac_galacticempire|Empire Galactique
fac_rebelalliance|Alliance Rebelle
fac_huttcartel|Cartel Hutt
fac_bountyhunters|Chasseurs de Primes
fac_deserters|Déserteurs
fac_black_sun_pirates|Pirates du Soleil Noir
fac_blazing_claw_pirates|Pirates de la Griffe Enflammée
fac_slavers|Esclavagistes
