p_shipyard_trade_federation|Fédération du Commerce
p_shipyard_kuat|Chantier de Kuat
p_shipyard_raxus|Chantier de Raxus Prime
p_shipyard_corellia|Chantier de Corellia
p_shipyard_moncal|Chantier de Mon Calamari
p_shipyard_mandalore|Chantier de Mandalore
p_shipyard_fondor|Chantier de Fondor
p_mandalore|Mandalore
p_christophsis|Christophsis
p_endor|Endor
p_corellia|Corellia
p_naboo|Naboo
p_kessel|Kessel
p_dantooine|Dantooine
p_geonosis|Geonosis
p_mon_cal|Dac
p_kashyyyk|Kashyyyk
p_hoth|Hoth
p_gamorr|Gamorr
p_yavin_iv|Yavin IV
p_tatooine|Tatooine
p_manaan|Manaan
p_coruscant|Coruscant
p_ryloth|Ryloth
p_nalhutta|Nal Hutta
p_bothawui|Bothawui
p_mustafar|Mustafar
p_kamino|Kamino
p_taris|Taris
p_raxusprime|Raxus Prime
p_sarapin|Sarapin
p_hypori|Hypori
p_felucia|Felucia
p_bespin|Bespin
p_spacestation_2|Corellia Outpost
p_spacestation_3|Station de Bataille Yavin IV
p_spacestation_4|Dagobah
p_spacestation_5|Etoile de la Mort
p_spacestation_6|Poste Avancé d'Endor
p_spacestation_7|Station de Bataille de Dac
p_spacestation_8|Station de Bataille de Ryloth
p_spacestation_9|Station de Bataille de Christophsis
p_spacestation_10|Station de Bataille de Kessel
p_spacestation_11|Plateforme Avatar
p_spacestation_12|Poste Avancé de Manaan
p_spacestation_13|Poste Avancé de Christophsis
p_spacestation_14|Station de Bataille de Nal Hutta
p_spacestation_15|Station de Bataille de Dantooine
p_spacestation_16|Poste Avancé de Kashyyk
p_spacestation_17|Poste Avancé de Coruscant
p_spacestation_18|Station de Bataille de Hoth
p_spacestation_19|Bakura
p_spacestation_20|Poste Avancé de Gamorr
p_spacestation_21|Station de Bataille de Mandalore
p_spacestation_22|Station de Bataille de Manaan
p_spacestation_23|Station de Bataille de Corellia
p_spacestation_24|Station de Bataille de Geonosis
p_spacestation_25|Poste Avancé de Mandalore
p_spacestation_26|Poste Avancé de Geonosis
p_spacestation_27|Poste Avancé de Kessel
p_spacestation_28|Dathomir
p_spacestation_29|Poste Avancé de Hoth
p_spacestation_30|Station de Bataille de Tatooine
p_spacestation_31|Station de Bataille de Gamorr
p_spacestation_32|Poste Avancé de Ryloth
p_spacestation_33|Poste Avancé de Naboo
p_spacestation_34|Poste Avancé de Dantooine
p_spacestation_35|Station de Bataille de Naboo
p_spacestation_36|Station de Bataille de Coruscant
p_spacestation_37|Poste Avancé de Yavin IV
p_spacestation_38|Poste Avancé de Nal Hutta
p_spacestation_39|Poste Avancé de Dac
p_spacestation_40|Poste Avancé de Tatooine
p_spacestation_41|Rhen Var
p_spacestation_42|Saleucami
p_minorplanet_1|Honoghr
p_minorplanet_2|Chandrila
p_minorplanet_3|Tholatin
p_minorplanet_4|Ilum
p_minorplanet_5|Sernpidal
p_minorplanet_6|Velmor
p_minorplanet_7|Hoth Moon
p_minorplanet_8|Lune de Bespin
p_minorplanet_9|Dubrillion
p_minorplanet_10|Riflor
p_minorplanet_11|Siskeen
p_minorplanet_12|Rakata Prime
p_minorplanet_13|Myrkr
p_minorplanet_14|Ziost
