fac_no_faction|Nincs Frakció
fac_commoners|Polgárok
fac_outlaws|Számkivetettek
fac_neutral|Közömbös
fac_innocents|Ártatlanok
fac_merchants|Kereskedők
fac_trade_federation|Független
fac_player_faction|Játékos Frakció
fac_player_supporters_faction|Játékos Frakció
fac_galacticempire|Galaktikus Birodalom
fac_rebelalliance|Lázadó Szövetség
fac_huttcartel|Hutt Kartell
fac_bountyhunters|Fejvadászok
fac_deserters|Szökevények
fac_black_sun_pirates|Fekete Nap Kalózok
fac_blazing_claw_pirates|Lángoló Karom Kalózok
fac_slavers|Rabszolga-kereskedők
