pt_rescued_prisoners|Megmentett Foglyok
pt_enemy|Ellenség
pt_hero_party|Hős Csapat
pt_minorplanet_defenders|Gyarmati Védelmezők
pt_cattle_herd|Birka Nyáj
pt_jawas|Jawák\n
pt_bountyhunters|Trandoshani Rabszolga-kereskedők
pt_night_fang_pirates|Éjszaka Agyarai Kalózok
pt_blazing_claw_pirates|Lángoló Karom Kalózok
pt_tusken_raiders|Buckalakók
pt_black_sun_pirates|Fekete Nap Kalózok
pt_deserters|Dezertőrök
pt_galacticempire_escort|Járőr Flotta
pt_independent_traders|Kereskedelni Konvoj
pt_merchant_caravan|Kereskedelmi Teherhajó
pt_miningvessel|Bányász Hajó
pt_troublesome_bandits|Problémás Banditák
pt_bandits_awaiting_ransom|A Banditák Váltságdíjat Kérnek
pt_kidnapped_girl|Elrabolt Lány
pt_minorplanet_farmers|Gyarmati Farmerek
pt_spy_partners|Jelentéktelen Utazók
pt_runaway_serfs|Szökésben lévő Rabszolga-kereskedők
pt_spy|Átlagos Gyarmati lakos
pt_sacrificed_messenger|Feláldozott Hírnök
pt_forager_party|Éhező Csapat
pt_scout_party|Felderítők
pt_patrol_party|Őrjárat
pt_messenger_party|Hírvivő
pt_raider_party|Fosztogatók
pt_raider_captives|Fosztogató Rabok
pt_faction_caravan_party|Teherhajók
pt_prisoner_train_party|Fogoly Vonat
pt_default_prisoners|Vétkes Rabok
pt_center_reinforcements|Erősítés
pt_faction_hero_party|Háborús Sereg
