fac_no_faction|Onzijdig
fac_commoners|Burgers
fac_outlaws|Ballingers
fac_neutral|Neutraal
fac_innocents|Onschuldigen
fac_merchants|Handelaren
fac_trade_federation|Onafhankelijk
fac_player_faction|Speler Factie
fac_player_supporters_faction|Speler Factie
fac_galacticempire|Galactisch Keizerrijk 
fac_rebelalliance|Rebel Bondgenootschap
fac_huttcartel|Hutt Kartel
fac_bountyhunters|Doel Jagers
fac_deserters|Deserteurs
fac_black_sun_pirates|Zwarte Zon Piraten
fac_blazing_claw_pirates|Brandende Klauw Piraten
fac_slavers|Slavenhandelaars
