p_shipyard_trade_federation|Trade Federation
p_shipyard_kuat|Kuat Havens
p_shipyard_raxus|Raxus Prime Havens
p_shipyard_corellia|Corellia Havens
p_shipyard_moncal|Mon Calamari Havens
p_shipyard_mandalore|Mandalore Havens
p_shipyard_fondor|Fondor Havens
p_mandalore|Mandalore
p_christophsis|Christophsis
p_endor|Endor
p_corellia|Corellia
p_naboo|Naboo
p_kessel|Kessel
p_dantooine|Dantooine
p_geonosis|Geonosis
p_mon_cal|Mon Calamari
p_kashyyyk|Kashyyyk
p_hoth|Hoth
p_gamorr|Gamorr
p_yavin_iv|Yavin IV
p_tatooine|Tatooine
p_manaan|Manaan
p_coruscant|Coruscant
p_ryloth|Ryloth
p_nalhutta|Nal hutta
p_bothawui|Bothawui
p_mustafar|Mustafar
p_kamino|Kamino
p_taris|Taris
p_raxusprime|Raxus Prime
p_sarapin|Sarapin
p_hypori|Hypori
p_felucia|Felucia
p_bespin|Bespin
p_spacestation_2|Corellia Buitenpost
p_spacestation_3|Yavin IV Gevechtstation
p_spacestation_4|Dagobah
p_spacestation_5|Death Star
p_spacestation_6|Endor Buitenpost
p_spacestation_7|Mon Calamari Gevechtstation
p_spacestation_8|Ryloth Gevechtstation
p_spacestation_9|Christophsis Gevechtstation
p_spacestation_10|Kessel Gevechtstation
p_spacestation_11|Avatar Platform
p_spacestation_12|Manaan Buitenpost
p_spacestation_13|Christophsis Buitenpost
p_spacestation_14|Nal Hutta Gevechtstation
p_spacestation_15|Dantooine Gevechtstation
p_spacestation_16|Kashyyyk Buitenpost
p_spacestation_17|Coruscant Buitenpost
p_spacestation_18|Hoth Gevechtstation
p_spacestation_19|Bakura
p_spacestation_20|Gamorr Buitenpost
p_spacestation_21|Mandalore Gevechtstation
p_spacestation_22|Manaan Gevechtstation
p_spacestation_23|Corellia Gevechtstation
p_spacestation_24|Geonosis Gevechtstation
p_spacestation_25|Mandalore Buitenpost
p_spacestation_26|Geonosis Buitenpost
p_spacestation_27|Kessel Buitenpost
p_spacestation_28|Dathomir
p_spacestation_29|Hoth Buitenpost
p_spacestation_30|Tatooine Gevechtstation
p_spacestation_31|Gamorr Gevechtstation
p_spacestation_32|Ryloth Buitenpost
p_spacestation_33|Naboo Buitenpost
p_spacestation_34|Dantooine Buitenpost
