pt_rescued_prisoners|Geredde gevangenen
pt_enemy|Vijand
pt_hero_party|Held Feestje
pt_minorplanet_defenders|Coloniale verdedigers
pt_cattle_herd|Schaap Hoeder
pt_jawas|Jawas
pt_bountyhunters|Trandoshan Slavenhandelaars
pt_night_fang_pirates|Night Fangs Pirates|Nacht Tanden Piraten
pt_blazing_claw_pirates|Blazing Claw Pirates|Brandende Klauw Piraten
pt_tusken_raiders|Tusken Raiders
pt_black_sun_pirates|Black Sun Pirates|Zwarte Zon Piraten
pt_deserters|Deserteurs
pt_galacticempire_escort|Patrouile Vloot
pt_independent_traders|Handelaar Konvooi
pt_merchant_caravan|Handelaar Vrachtschip
pt_miningvessel|Mining Schip
pt_troublesome_bandits|Probleem Makende Bandieten
pt_bandits_awaiting_ransom|Bandieten Verwachten Losgeld
pt_kidnapped_girl|Gekidnapt Meisje
pt_minorplanet_farmers|Coloniale Boeren
pt_spy_partners|Onopvallende Reizers
pt_runaway_serfs|Wegrenende Slaven
pt_spy|Ordinare Colonist
pt_sacrificed_messenger|Dode Berichter
pt_forager_party|Verzameling Groep
pt_scout_party|Verkenners
pt_patrol_party|Patrouile
pt_messenger_party|Berichter
pt_raider_party|Stropers
pt_raider_captives|Stroper Gevangenen
pt_faction_caravan_party|Vrachtschepen
pt_prisoner_train_party|Gevangene Trein
pt_default_prisoners|Originele Gevangenen
pt_center_reinforcements|Versterkingen
pt_faction_hero_party|Oorlogs Partijtje
