fac_no_faction|Brak frakcji
fac_commoners|Plebs
fac_outlaws|Banici
fac_neutral|Neutralni
fac_innocents|Niewinni
fac_merchants|Kupcy
fac_trade_federation|Niepodlegli
fac_player_faction|Frakcja Gracza
fac_player_supporters_faction|Frakcja Gracza
fac_galacticempire|Imperium Galaktyczne
fac_rebelalliance|Sojusz Rebeliantów
fac_huttcartel|Kartel Huttów
fac_bountyhunters|Łowcy Nagród
fac_deserters|Dezerterzy
fac_black_sun_pirates|Piraci &quot;Czarnego Słońca&quot;
fac_blazing_claw_pirates|Piraci Płonącego Pazura
fac_slavers|Łowcy Niewolników
