p_shipyard_trade_federation|Federacja Handlowa
p_shipyard_kuat|Stocznia Kuatu
p_shipyard_raxus|Stocznia Raxus Prima
p_shipyard_corellia|Stocznia Corellii
p_shipyard_moncal|Stocznia Dac
p_shipyard_mandalore|Stocznia Mandalory
p_shipyard_fondor|Stocznia Fondoru
p_mandalore|Mandalore
p_christophsis|Christophsis
p_endor|Endor
p_corellia|Corellia
p_naboo|Naboo
p_kessel|Kessel
p_dantooine|Dantooine
p_geonosis|Geonosis
p_mon_cal|Dac
p_kashyyyk|Kashyyyk
p_hoth|Hoth
p_gamorr|Gamorr
p_yavin_iv|Yavin IV
p_tatooine|Tatooine
p_manaan|Manaan
p_coruscant|Coruscant
p_ryloth|Ryloth
p_nalhutta|Nal Hutta
p_bothawui|Bothawui
p_mustafar|Mustafar
p_kamino|Kamino
p_taris|Taris
p_raxusprime|Raxus Prime
p_sarapin|Sarapin
p_hypori|Hypori
p_felucia|Felucia
p_bespin|Bespin
p_spacestation_2|Przyczułek Corellia
p_spacestation_3|Stacja Bojowa Yavin IV
p_spacestation_4|Dagobah
p_spacestation_5|Gwiazda Śmierci
p_spacestation_6|Przyczułek Endor
p_spacestation_7|Stacja bojowa Dac
p_spacestation_8|Stacja bojowa Ryloth
p_spacestation_9|Stacja bojowa Christophsis
p_spacestation_10|Stacja bojowa Kessel
p_spacestation_11|Platforma Avatar
p_spacestation_12|Przyczułek Manaan
p_spacestation_13|Przyczułek Christophsis
p_spacestation_14|Stacja bojowa Nal Hutta
p_spacestation_15|Stacja Bojowa Dantooine
p_spacestation_16|Przyczułek Kashyyk
p_spacestation_17|Przyczułek Coruscant
p_spacestation_18|Stacja bojowa Hoth
p_spacestation_19|Bakura
p_spacestation_20|Przyczułek Gamorr
p_spacestation_21|Stacja bojowa Mandalor
p_spacestation_22|Stacja bojowa Manaan
p_spacestation_23|Stacja bojowa Corellia
p_spacestation_24|Stacja bojowa Geonosis
p_spacestation_25|Przyczułek Mandalor
p_spacestation_26|Przyczułek Geonosis
p_spacestation_27|Przyczułek Kessel
p_spacestation_28|Dathomir
p_spacestation_29|Przyczułek Hoth
p_spacestation_30|Stacja bojowa Tatooine
p_spacestation_31|Stacja Bojowa Gamorr
p_spacestation_32|Ptzyczułek y
p_spacestation_33|Placówka Naboo
p_spacestation_34|Placówka Dantooine
p_spacestation_35|Stacja Bojowa Naboo
p_spacestation_36|Stacja Bojowa Coruscant
p_spacestation_37|Placówka Yavin IV
p_spacestation_38|Placówka Nal Hutta
p_spacestation_39|Placówka Dac
p_spacestation_40|Placówka Tatooine
p_spacestation_41|Rhen Var
p_spacestation_42|Saleucami
p_minorplanet_1|Honoghr
p_minorplanet_2|Chandrila
p_minorplanet_3|Tholatin
p_minorplanet_4|Ilum
p_minorplanet_5|Sernpidal
p_minorplanet_6|Velmor
p_minorplanet_7|Księżyc Hoth
p_minorplanet_8|Księżyc Bespin
p_minorplanet_9|Dubrillion
p_minorplanet_10|Riflor
p_minorplanet_11|Siskeen
p_minorplanet_12|Rakata Prime
p_minorplanet_13|Myrkr
p_minorplanet_14|Ziost
p_minorplanet_15|Księżyc Corellia
p_minorplanet_16|Vargnat
p_minorplanet_17|Lannik
p_minorplanet_18|Fondor
p_minorplanet_19|Księżyc Bakura
p_minorplanet_20|Księżyc Dac
p_minorplanet_21|Isde Naha
p_minorplanet_22|Duro
p_minorplanet_23|Księżyc Coruscant 
p_minorplanet_24|Anoth
p_minorplanet_25|Księżyc Tatooine
p_minorplanet_26|Rori
p_minorplanet_27|Bilbringi
p_minorplanet_28|Tynna
p_minorplanet_29|Księżyc Dantooine
p_minorplanet_30|Corulag
p_minorplanet_31|Togoria
p_minorplanet_32|Gall
p_minorplanet_33|Muunulist
p_minorplanet_34|Ruuria
p_minorplanet_35|Iridonia
p_minorplanet_36|Księżyc Kessel
p_minorplanet_37|Bimmsari
p_minorplanet_38|Belkadan
p_minorplanet_39|Helska
p_minorplanet_40|Saki
p_minorplanet_41|Nar Shaddaa
p_minorplanet_42|Księżyc Bothawui
p_minorplanet_43|Alzoc III
p_minorplanet_44|Ruusan
p_minorplanet_45|Księżyc Dathomir
p_minorplanet_46|Yag'Dhul
p_minorplanet_47|Selvaris
p_minorplanet_48|Sump
