fac_no_faction|Sem facção
fac_commoners|Plebeus
fac_outlaws|Foras da lei
fac_neutral|Neutro
fac_innocents|Inocentes
fac_merchants|Mercadores
fac_trade_federation|Independente
fac_player_faction|Facção do Jogador
fac_player_supporters_faction|Facção do Jogador
fac_galacticempire|Império Galáctico
fac_rebelalliance|Aliança Rebelde
fac_huttcartel|Cartel dos Hutt
fac_bountyhunters|Caçadores de Recompensas
fac_deserters|Desertores
fac_black_sun_pirates|Piratas do Sol Negro
fac_blazing_claw_pirates|Piratas da Garra Ardente
fac_slavers|Negreiros
