p_shipyard_trade_federation|Federação de Comércio
p_shipyard_kuat|Estaleiro De Kuat
p_shipyard_raxus|Estaleiro De Raxus Prime
p_shipyard_corellia|Estaleiro De Corellia
p_shipyard_moncal|Estaleiro De Dac
p_shipyard_mandalore|Estaleiro De Mandalore
p_shipyard_fondor|Estaleiro De Fondor
p_mandalore|Mandalore
p_christophsis|Christophsis
p_endor|Endor
p_corellia|Corellia
p_naboo|Naboo
p_kessel|Kessel
p_dantooine|Dantooine
p_geonosis|Geonosis
p_mon_cal|Dac
p_kashyyyk|Kashyyyk
p_hoth|Hoth
p_gamorr|Gamorr
p_yavin_iv|Yavin IV
p_tatooine|Tatooine
p_manaan|Manaan
p_coruscant|Coruscant
p_ryloth|Ryloth
p_nalhutta|Nal Hutta
p_bothawui|Bothawui
p_mustafar|Mustafar
p_kamino|Kamino
p_taris|Taris
p_raxusprime|Raxus Prime
p_sarapin|Sarapin
p_hypori|Hypori
p_felucia|Felucia
p_bespin|Bespin
p_spacestation_2|Posto Avançado De Corellia
p_spacestation_3|Posto De Combate De Yavin IV
p_spacestation_4|Dagobah
p_spacestation_5|Estrela Da Morte
p_spacestation_6|Posto Avançado De Endor
p_spacestation_7|Posto De Combate De Dac
p_spacestation_8|Posto De Combate De Ryloth
p_spacestation_9|Posto De Combate De Christophis
p_spacestation_10|Posto De Combate De Kessel
p_spacestation_11|Plataforma Avatar
p_spacestation_12|Posto Avançado De Manaan
p_spacestation_13|Posto Avançado De Christophis
p_spacestation_14|Posto De Combate De Nal Hutta
p_spacestation_15|Posto De Combate De Dantooine
p_spacestation_16|Posto Avançado De Kashyyyk
p_spacestation_17|Posto Avançado De Coruscant
p_spacestation_18|Posto De Combate De Hoth
p_spacestation_19|Bakura
p_spacestation_20|Posto Avançado De Gamorr
p_spacestation_21|Posto De Combate De Mandalore
p_spacestation_22|Posto De Combate De Manaan
p_spacestation_23|Posto De Combate De Corellia
p_spacestation_24|Posto De Combate De Geonosis
p_spacestation_25|Posto Avançado De Mandalore
p_spacestation_26|Posto Avançado De Geonosis
p_spacestation_27|Posto Avançado De Kessel
p_spacestation_28|Dathomir
p_spacestation_29|Posto Avançado De Hoth
p_spacestation_30|Posto De Combate De Tatooine
p_spacestation_31|Posto De Combate De Gamorr
p_spacestation_32|Posto Avançado De Ryloth
p_spacestation_33|Posto Avançado De Naboo
p_spacestation_34|Posto Avançado De Dantooine
p_spacestation_35|Posto De Combate De Naboo
p_spacestation_36|Posto De Combate De Coruscant
p_spacestation_37|Posto Avançado De Yavin IV
p_spacestation_38|Posto Avançado De Nal Hutta
p_spacestation_39|Posto Avançado De Dac
p_spacestation_40|Posto Avançado De Tatooine
p_spacestation_41|Rhen Var
p_spacestation_42|Saleucami
p_minorplanet_1|Honoghr
p_minorplanet_2|Chandrila
p_minorplanet_3|Tholatin
p_minorplanet_4|Ilum
p_minorplanet_5|Sernpidal
p_minorplanet_6|Velmor
p_minorplanet_7|Lua de Hoth
p_minorplanet_8|Lua de Bespin
p_minorplanet_9|Dubrillion
p_minorplanet_10|Riflor
p_minorplanet_11|Siskeen
p_minorplanet_12|Rakata Prime
p_minorplanet_13|Myrkr
p_minorplanet_14|Ziost
p_minorplanet_15|Lua de Corellia
p_minorplanet_16|Vargnat
p_minorplanet_17|Lannik
p_minorplanet_18|Fondor
p_minorplanet_19|Lua de Bakura
p_minorplanet_20|Lua de Dac
p_minorplanet_21|Isde Naha
p_minorplanet_22|Duro
p_minorplanet_23|Lua de Coruscant
p_minorplanet_24|Anoth
p_minorplanet_25|Lua de Tatooine
p_minorplanet_26|Rori
p_minorplanet_27|Bilbringi
p_minorplanet_28|Tynna
p_minorplanet_29|Lua de Dantooine
p_minorplanet_30|Corulag
