p_shipyard_trade_federation|Торговая федерация
p_shipyard_kuat|Верфь Куата
p_shipyard_raxus|Верфь Раксус прайм
p_shipyard_corellia|Верфь Кореллии
p_shipyard_moncal|Верфь Мон-Каламари
p_shipyard_mandalore|Верфь Мандалора
p_shipyard_fondor|Верфь Фондора
p_mandalore|Мандалор
p_christophsis|Кристофсис
p_endor|Эндор
p_corellia|Кореллия
p_naboo|Набу
p_kessel|Кессель
p_dantooine|Дантуин
p_geonosis|Геонозис
p_mon_cal|Мон-Каламари
p_kashyyyk|Кашиик
p_hoth|Хот
p_gamorr|Гаморр
p_yavin_iv|Явин IV
p_tatooine|Татуин
p_manaan|Манаан
p_coruscant|Корусант
p_ryloth|Рилот
p_nalhutta|Нал-Хатта
p_bothawui|Ботавуи
p_mustafar|Мустафар
p_kamino|Камино
p_taris|Тарис
p_raxusprime|Раксус Прайм
p_sarapin|Сарапин
p_hypori|Хайпори
p_felucia|Фелуция
p_bespin|Беспин
p_spacestation_2|Кореллийская защитная станция
p_spacestation_3|Боевая станция Явина IV
p_spacestation_4|Дагоба
p_spacestation_5|Звезда Смерти
p_spacestation_6|Защитная станция Эндора
p_spacestation_7|Боевая станция Мон-Каламари
p_spacestation_8|Боевая станция Релота
p_spacestation_9|Боевая станция Кристофсиса
p_spacestation_10|Боевая станция Кесселя
p_spacestation_11|Платформа &quot;Аватар&quot;
p_spacestation_12|Защитная станция Манаана
p_spacestation_13|Защитная станция Кристофсиса
p_spacestation_14|Боевая станция Нал-Хатта
p_spacestation_15|Боевая станция Дантуина
p_spacestation_16|Защитная станция Кашиика
p_spacestation_17|Защитная станция Корусанта
p_spacestation_18|Боевая станция Хота
p_spacestation_19|Бакура
p_spacestation_20|Защитная станция Гаморра
p_spacestation_21|Боевая станция Мандалора
p_spacestation_22|Боевая станция Манаана
p_spacestation_23|Боевая станция Кореллии
p_spacestation_24|Боевая станция Геонозиса
p_spacestation_25|Защитная станция Мандалора
p_spacestation_26|Защитная станция Геонозиса
p_spacestation_27|Защитная станция Кесселя
p_spacestation_28|Датомир
p_spacestation_29|Защитная станция Хота
p_spacestation_30|Боевая станция Татуина
p_spacestation_31|Боевая станция Гаморра
p_spacestation_32|Защитная станция Рилота
p_spacestation_33|Защитная станция Набу
p_spacestation_34|Защитная станция Дантуина
p_spacestation_35|Боевая станция Набу
p_spacestation_36|Боевая станция Корусанта
p_spacestation_37|Защитная станция Явина IV
p_spacestation_38|Защитная станция Нал-Хатта
p_spacestation_39|Защитная станция Мон-Каламари
p_spacestation_40|Защитная станция Татуина
p_spacestation_41|Рен-Вар
p_spacestation_42|Салукемай
p_minorplanet_1|Хоногр
p_minorplanet_2|Чандрила
p_minorplanet_3|Толатин
p_minorplanet_4|Илум
p_minorplanet_5|Сернпидал
p_minorplanet_6|Велмор
p_minorplanet_7|Луна Хота
p_minorplanet_8|Луна Беспина
p_minorplanet_9|Дубрайллион
p_minorplanet_10|Рифлор
p_minorplanet_11|Сискиин
p_minorplanet_12|Раката Прайм
p_minorplanet_13|Муркр
p_minorplanet_14|Зиост
p_minorplanet_15|Луна Кореллии
p_minorplanet_16|Варгнат
p_minorplanet_17|Ланник
p_minorplanet_18|Фондор
p_minorplanet_19|Луна Бакуры
p_minorplanet_20|Луна Мон-Каламари
p_minorplanet_21|Изде-Нага
p_minorplanet_22|Дюро
p_minorplanet_23|Луна Корусанта
p_minorplanet_24|Анот
p_minorplanet_25|Луна Татуина
p_minorplanet_26|Рори
p_minorplanet_27|Билбринджи
p_minorplanet_28|Тюнна
p_minorplanet_29|Луна Дантуина
p_minorplanet_30|Корулаг
p_minorplanet_31|Тогория
p_minorplanet_32|Галл
p_minorplanet_33|Муунулист
p_minorplanet_34|Руурия
p_minorplanet_35|Иридония
p_minorplanet_36|Луна Кесселя
p_minorplanet_37|Биммсари
p_minorplanet_38|Белкадан
p_minorplanet_39|Хельска
p_minorplanet_40|Сэки
p_minorplanet_41|Нар-Шаддаа
p_minorplanet_42|Луна Ботавуи
p_minorplanet_43|Алцок III
p_minorplanet_44|Руусан
p_minorplanet_45|Луна Датомира
p_minorplanet_46|Яг'Дул
p_minorplanet_47|Селварис
p_minorplanet_48|Самп
p_minorplanet_49|Луна Мустафара
p_minorplanet_50|Досуун
p_minorplanet_51|Яга Минор
p_minorplanet_52|Нар-Крита
p_minorplanet_53|Пзоб
p_minorplanet_54|Бараб I
p_minorplanet_55|Ламаредд
p_minorplanet_56|Итор
p_minorplanet_57|Куат
p_minorplanet_58|Родия
p_minorplanet_59|Бастион
p_minorplanet_60|Анобис
p_minorplanet_61|Тисспиас
p_minorplanet_62|Вьюн
p_minorplanet_63|Дронгар
p_minorplanet_64|Луна Камино
p_minorplanet_65|Мимбан
p_minorplanet_66|Аларис Прайм
p_minorplanet_67|Вейлэнд
p_minorplanet_68|Вулптер
p_minorplanet_69|Биммиэль
p_minorplanet_70|Луна Гаморра
p_minorplanet_71|Конкордия
p_minorplanet_72|Богден
p_minorplanet_73|Луна Дагобы
p_minorplanet_74|Руун
p_minorplanet_75|Алмания
p_minorplanet_76|Оброа-скай
p_minorplanet_77|Орд-Мантелл
p_minorplanet_78|Чаррос IV
p_minorplanet_79|Луна Манаана
p_minorplanet_80|Н'Зот
p_minorplanet_81|Брентаал
p_minorplanet_82|Гаркуи
p_minorplanet_83|Ксал III
p_minorplanet_84|Луна Кристофсиса
p_minorplanet_85|Финдар
p_minorplanet_86|Ваал
p_minorplanet_87|Серенно
p_minorplanet_88|Дерра IV
p_minorplanet_89|Луна Рилота
p_minorplanet_90|Комм
p_training_ground|Тренировочная станция
p_training_ground_1|Академия
p_training_ground_2|Академия
p_training_ground_3|Академия
p_training_ground_4|Академия
p_training_ground_5|Академия
