fac_no_faction|Ingen Fraktion
fac_commoners|Bybor
fac_outlaws|Fredslösa
fac_neutral|Neutrala
fac_innocents|Oskyldiga
fac_merchants|Handelsmän
fac_trade_federation|Självständigt / Självständiga
fac_player_faction|Spelar Fraktion
fac_player_supporters_faction|Spelar Fraktion
fac_galacticempire|Rymdimperiet
fac_rebelalliance|Rebell Alliansen
fac_huttcartel|Hutt Kartellen
fac_bountyhunters|Prisjägare
fac_deserters|Desertörer
fac_black_sun_pirates|Svarta Sol Pirater
fac_blazing_claw_pirates|Brinnande-Klo Pirater
fac_slavers|Slavhandlare
