itm_horse_meat|Hästkött
itm_practice_boots|Träningsstövlar
itm_arena_tunic_white|Vit Arena Tunika 
itm_arena_tunic_red|Röd Arena Tunika
itm_arena_tunic_blue|Blå Arena Tunika
itm_arena_tunic_green|Grön Arena Tunika
itm_arena_tunic_yellow|Gul Arena Tunika
itm_book_tactics|Taktik Holocron
itm_book_persuasion|Övertygelse Holocron
itm_book_leadership|Ledarskaps Holocron
itm_book_intelligence|Förstånds Holocron
itm_book_trade|Handels Holocron
itm_book_weapon_mastery|Vapen Mästrings Holocron
itm_book_engineering|Ingenjörs Holocron
itm_book_wound_treatment_reference|2-1B Medicinsk Droid
itm_book_first_aid_reference|Medicinsk Databas
itm_book_tactics_reference|Dejarik Bord
itm_book_trade_reference|Sabacc Kort
itm_book_ironflesh_reference|Personlig Sköld
itm_book_horse_archery_reference|Lasersikte
itm_book_training_reference|Träningsdosa
itm_book_surgery_reference|Bacta Behållare
itm_smoked_fish|Rökt Fisk
itm_dried_meat|Nerf Biff
itm_cattle_meat|Nerfkött
itm_bantha_steak|Bantha Stek
itm_pork|Fläsk
itm_bread|Bröd
itm_vagnerian_canape|Vagnerian Kanapé
itm_carbohydrate_pack|Kolhydrats Paket
itm_apples|Äpplen
itm_blue_milk|Blå Mjölk
itm_mujo_fruit|Mujo Frukt
itm_cheese|Christophsis Ost
itm_chicken|Kyckling
itm_protein_pack|Protein Paket
itm_honey|Honung
itm_sausages|Nerf Korvar
itm_cabbages|Kål
itm_bristle_melon|Bristle Melon
itm_butter|Bantha Smör
itm_container_spice_1|Sändning av Ryll kryddor
itm_container_spice_2|Sändning av Gree kryddor
itm_container_spice_3|Sändning av Glitterstim kryddor
itm_container_food_1|Sändning av Grönsaker
itm_container_food_2|Sändning av Kolhydrater
itm_container_food_3|Sändning av Protein
itm_container_metal_1|Sändning av Beskartackor
itm_container_metal_2|Sändning av Durasteeltackor
itm_container_metal_3|Sändning av Bronziumtackor
itm_container_death_sticks|Kartong med Dödspinnar
itm_container_drink_1|Sändning av Vatten
itm_container_drink_2|Sändning av Svart öl
itm_container_drink_3|Sändning av Jurisaft
itm_carbonite_tibanna|Carbonite Sändning av Tibanna Gas
itm_container_ore|Mineral container
itm_butter|Bantha Smör
itm_wine|Mandaloriskt Vin
itm_ale|Corellisk Öl
itm_spice|Krydda
itm_salt|Bassel havs salt
itm_grain|Vete
itm_flour|Mjöl
itm_iron|Durasteel
itm_bacta_injector|Bacta Injektor
itm_bacta_capsule|Bacta Kapsyl
itm_binocular|Makrokikare
itm_jetpack|Jetpack
itm_oil|Olja
itm_pottery|Geonosisk Keramik
itm_linen|Lashaa Silke
itm_furs|Ewok Pälsar
itm_wookiee_fur|Wookie Päls
itm_trandoshan_skin|Trandoshan skinn
itm_droid_parts|Droid Delar
itm_wool|Nerf Ull
itm_velvet|Naboo Sammet
itm_tools|Hydro skruvnyckel
itm_siege_supply|Förnödenheter
itm_quest_wine|Vin
itm_quest_ale|Öl
itm_pilgrim_disguise|Pilgrims Förklädnad
itm_pilgrim_hood|Pilgrims Huva
itm_leather_gloves|Läder Handskar
itm_wrapping_boots|Omslags stövlar
itm_blue_hose|Blå Slang
itm_hide_boots|Skinnstövlar
itm_ankle_boots|Stövlar
itm_nomad_boots|Nomad Stövlar
itm_dress|Klänning
itm_blue_dress|Blå Klänning
itm_peasant_dress|Kolonist Klänning
itm_woolen_dress|Ylle Klänning
itm_courtly_outfit|Hovs Klänning
itm_nobleman_outfit|Adelsmans Utstyrsel
itm_leather_armor|Läder Rustning
itm_shirt|Skjorta
itm_linen_tunic|Linne Tunika
itm_short_tunic|Rik Tunika
itm_robe|Kappa
itm_coarse_tunic|Grov Tunika
itm_leather_apron|Läderförkläde
itm_tabard|Tabard
itm_leather_vest|Läderväst
itm_gambeson|Gambeson
itm_blue_gambeson|Blå Gambeson
itm_red_gambeson|Röd Gambeson
itm_padded_cloth|Vadderad Gambeson
itm_leather_jerkin|Armlös Lädertröja
