fac_no_faction|Grup yok
fac_commoners|Halk
fac_outlaws|Haydutlar\n
fac_neutral|Tarafsız
fac_innocents|Masumlar
fac_merchants|Tüccarlar
fac_trade_federation|Bağımsız
fac_player_faction|Oyuncu Grubu
fac_player_supporters_faction|Oyuncu Grubu
fac_galacticempire|Galaktik Krallık
fac_rebelalliance|Asiler Grubu
fac_huttcartel|Hutt Karteli
fac_bountyhunters|Kelle Avcıları
fac_deserters|Çöl Haydutları
fac_black_sun_pirates|Siyah Güneş Korsanları
fac_blazing_claw_pirates|Yanar Pençe Korsanları
fac_slavers|Köleler
