itm_horse_meat|At eti
itm_practice_boots|Antreman botu
itm_arena_tunic_white|Beyaz arena tuniği 
itm_arena_tunic_red|Kırmızı arena tuniği
itm_arena_tunic_blue|Mavi arena tuniği
itm_arena_tunic_green|Yeşil arena tuniği
itm_arena_tunic_yellow|Sarı arena tuniği
itm_book_tactics|Taktik holokronu
itm_book_persuasion|İkna holokronu
itm_book_leadership|Liderlik holokronu
itm_book_intelligence|Zeka holokronu
itm_book_trade|Ticaret holokronu
itm_book_weapon_mastery|Kılıç ustalığı holokronu
itm_book_engineering|Mühendis holokronu
itm_book_wound_treatment_reference|2-1B Sağlık Droidi
itm_book_first_aid_reference|Tıbbi Veritabanı
itm_book_tactics_reference|Dejarik Masası
itm_book_trade_reference|Sabacc Kartları
itm_book_ironflesh_reference|Kişisel Kalkan
itm_book_horse_archery_reference|Lazer Nişanı
itm_book_training_reference|Alıştırma robotu
itm_book_surgery_reference|Bacta Tankı
itm_smoked_fish|Pişmiş Blık
itm_dried_meat|Sinir Bifteği
itm_cattle_meat|Sinir Eti
itm_bantha_steak|Bantha Bifteği
itm_pork|Domuz
itm_bread|Ekmek
itm_vagnerian_canape|Vagnerli Kanapesi
itm_carbohydrate_pack|Karbonhidrat Paketi
itm_apples|Elmalar
itm_blue_milk|Mavi Süt
itm_mujo_fruit|Mujo Meyvesi
itm_cheese|Kristophisis Peyniri
itm_chicken|Tavuk
itm_protein_pack|Protein Paketi
itm_honey|Bal
itm_sausages|Sinir Sosisi
itm_cabbages|Lahana
itm_bristle_melon|Bristle Kavunu
itm_butter|Bantha Yağı
itm_container_spice_1|Ryll Sosu
itm_container_spice_2|Gree Sosu
itm_container_spice_3|Glitterstim Sosu
itm_container_food_1|Sebze Kargosu
itm_container_food_2|Karbonhidrat Kargosu
itm_container_food_3|Protein Kargosu
itm_container_metal_1|Beskar çikolataları
itm_container_metal_2|Durasteel çikolataları
itm_container_metal_3|Bronzium çikolataları
itm_container_death_sticks|Ölüm Sopaları Kartonu
itm_container_drink_1|Su kargosu
itm_container_drink_2|Siyah Bira Kargosu
itm_container_drink_3|Juri Meyve suyu kargosu
itm_carbonite_tibanna|Tibanna Gazının Karbonit Kargosu Yüklemesi\n
itm_container_ore|Maden konteynırı
itm_butter|Bantha Yağı
itm_wine|Mandolar İçkisi
itm_ale|Correllian Birası
itm_spice|Sos
itm_salt|Basses deniz tuzu
itm_grain|Buğdat
itm_flour|Un
itm_iron|Durasteel
itm_bacta_injector|Bakta Püskürtücü
itm_bacta_capsule|Bakta Kapsülü
itm_binocular|Makro Dürbünler
itm_jetpack|Jet Paketi
