p_shipyard_trade_federation|Ticaret Federasyonu
p_shipyard_kuat|Kuat Tersanesi
p_shipyard_raxus|Asal Raxus Tersanesi
p_shipyard_corellia|Korelya Tersanesi
p_shipyard_moncal|Dak Tersanesi
p_shipyard_mandalore|Mandalor Tersanesi
p_shipyard_fondor|Fondor Tersanesi
p_mandalore|Mandalor
p_christophsis|Kristosis
p_endor|Endor
p_corellia|Korelya
p_naboo|Naboo
p_kessel|Kessel
p_dantooine|Dantoni
p_geonosis|Geonosis
p_mon_cal|Dak
p_kashyyyk|Kaski
p_hoth|Hoth
p_gamorr|Gamor
p_yavin_iv|Yavin 4
p_tatooine|Tatuni
p_manaan|Manan
p_coruscant|Korusant
p_ryloth|Rylot
p_nalhutta|Nal Huta
p_bothawui|Botawu
p_mustafar|Mustafar
p_kamino|Kamino
p_taris|Taris
p_raxusprime|Asil Raxus
p_sarapin|Sarapin
p_hypori|Hypori
p_felucia|Felusya
p_bespin|Bespin
p_spacestation_2|Korelya Kışlası
p_spacestation_3|Yavin 4 Savaş İstasyonu
p_spacestation_4|Dagobah
p_spacestation_5|Death Star
p_spacestation_6|Endor Kışlası
p_spacestation_7|Dak Savaş İstasyonu
p_spacestation_8|Rylot Savaş İstasyonu
p_spacestation_9|Kristosis Savaş İstasyonu
p_spacestation_10|Kessel Savaş İstasyonu
p_spacestation_11|Avatar Platformu
p_spacestation_12|Manan Kışlası
p_spacestation_13|Kristosis Kışlası
p_spacestation_14|Nal Hutta Savaş İstasyonu
p_spacestation_15|Dantoni Savaş İstasyonu
p_spacestation_16|Kaski Kışlası
p_spacestation_17|Korusant Kışlası
p_spacestation_18|Hoth Savaş İstasyonu 
p_spacestation_19|Bakura
p_spacestation_20|Gamor Kışlası
p_spacestation_21|Mandalor Savaş İstasyonu
p_spacestation_22|Manan Savaş İstasyonu
p_spacestation_23|Korelya Savaş İstasyonu
p_spacestation_24|Geonosis Savaş İstasyonu
p_spacestation_25|Mandalor Kışlası
p_spacestation_26|Genosis Kışlası
p_spacestation_27|Kessel Kışlası
p_spacestation_28|Datomir
p_spacestation_29|Hoth Kışlası
p_spacestation_30|Tatuni Savaş İstasyonu
p_spacestation_31|Gamor Savaş İstasyonu
p_spacestation_32|Rylot Kışlası
p_spacestation_33|Naboo Kışlası
p_spacestation_34|Dantoin Kışlası
p_spacestation_35|Naboo Savaş İstasyonu
p_spacestation_36|Corusant Savaş İstasyonu
p_spacestation_37|Yavin 4 Kışlası
p_spacestation_38|Nal Hutta Kışlası
p_spacestation_39|Dak Kışlası
p_spacestation_40|Tatoni Kışlası
p_spacestation_41|Ren Var
p_spacestation_42|Saleukami
p_minorplanet_1|Honoghr
p_minorplanet_2|Çandrilya
p_minorplanet_3|Tolatin
p_minorplanet_4|Ilum
