pt_rescued_prisoners|Kurtarılmış Esirler
pt_enemy|Düşman
pt_hero_party|Kahramanın Partisi
pt_minorplanet_defenders|Sömürge Koruyucuları
pt_cattle_herd|İnek Sürüsü
pt_jawas|Jawalar
pt_bountyhunters|Trandoshan Kölecisi
pt_night_fang_pirates|Gece Dişi Korsanları
pt_blazing_claw_pirates|Yanar Pençe Korsanları
pt_tusken_raiders|Tuskenler
pt_black_sun_pirates|Siyah Güneş Korsanları
pt_deserters|Çöl Haydutları
pt_galacticempire_escort|Devriye Filosu
pt_independent_traders|Tüccar Konvoyu
pt_merchant_caravan|Tüccarın Yük Gemisi
pt_miningvessel|Madenci Gemisi
pt_troublesome_bandits|Zahmetli Eşkiyalar
pt_bandits_awaiting_ransom|Fidye Bekleyen Eşkiyalar
pt_kidnapped_girl|Kaçırılmış Kız
pt_minorplanet_farmers|Sömürülen Çiftçiler
pt_spy_partners|İşaretlenmemiş Gezginler
pt_runaway_serfs|Kaçak Köle
pt_spy|Sıradan Sömürgeci
pt_sacrificed_messenger|Kurban Haberci
pt_forager_party|Toplayıcı Party
pt_scout_party|Gözcüler
pt_patrol_party|Devriye
pt_messenger_party|Haberci
pt_raider_party|Akıncı
pt_raider_captives|Akıncı Esirleri
pt_faction_caravan_party|Yük Gemileri
pt_prisoner_train_party|Esir Treni
pt_default_prisoners|Sıradan Esirler
pt_center_reinforcements|Destek Kuvvetler
pt_faction_hero_party|Savaş Partisi
