dlga_start:member_talk|¿Sí?
dlga_start:pre_member_chat|All is quiet, Captain. Nothing to report.
dlga_pre_member_chat:member_chat|I have a question for you.
dlga_pre_member_chat:close_window|Good. Keep your eyes open.
dlga_start:close_window|^{s10}^{s11}^{s12}^{s13}^^^Note: displaying this dialog is necessary due to a M&B game engine limitation.
dlga_start:close_window.1|Warning: This line is never displayed. It is just for storing conversation variables.
dlga_member_chat:close_window|Warning: This line is never displayed. It is just for storing conversation variables.
dlga_event_triggered:close_window|Warning: This line is never displayed. It is just for storing conversation variables.
dlga_start:ramun_introduce_1|Buenos dias, {chaval/niña}.
dlga_ramun_introduce_1:ramun_introduce_2|Forgive me, you look like a trader, but I see none of your merchandise.
dlga_ramun_introduce_1:close_window|Never mind.
dlga_ramun_introduce_2:ramun_introduce_3|A trader? Oh, aye, I certainly am that. My merchandise is a bit different from most, however. It has to be fed and watered twice a day and tries to run away if I turn my back.
dlga_ramun_introduce_3:ramun_introduce_4|Livestock?
dlga_ramun_introduce_4:ramun_introduce_5|Close enough. I like to call myself the man who keeps every ship in space moving. Ships are flown by engines, you see, and engines need men to run them or they stop. That's where I come in.
dlga_ramun_introduce_5:ramun_introduce_6|Slaves.
dlga_ramun_introduce_6:ramun_introduce_7|Now you're catching on! A trading planet like this couldn't survive without them. The ships lose a few hands on every voyage, so there's always a high demand. The captains come to me and they pay well.
dlga_ramun_introduce_7:ramun_introduce_8|Where do the slaves come from?
dlga_ramun_introduce_8:ramun_introduce_9|Mostly I deal in convicted criminals bought from the authorities. Others are prisoners of war from various factions, brought to me because I offer the best prices. However, on occasion I'll buy from privateers and other . . . 'individuals'. You can't be picky about your suppliers in this line of work. You wouldn't happen to have any prisoners with you, would you?
dlga_ramun_introduce_9:ramun_introduce_10|Me? 
dlga_ramun_introduce_10:ramun_introduce_11|Why not? If you intend to travel outside this planet, you're going to get into a shoot-out with someone sooner or later. And, God willing, you'll come out on top. Why not make some extra money off the whole thing? Take them alive, bring them back to me, and I'll pay you fifty credits for each head. Don't much care who they are or where they come from.
dlga_ramun_introduce_11:ramun_introduce_12|Hmm. I'll think about it.
