# TRADUCCIÓN DE STAR WARS CONQUEST - ESPAÑOL
# CREADO POR SWYTER, TODOS LOS DERECHOS RESERVADOS.
# CONTACTO: MANDA UN MENSAJE PERSONAL EN FORUMS.TALEWORLDS.COM A "SWYTER"

str_no_string|NO STRING!
str_empty_string| 
str_yes|Sí.
str_no|No.
str_blank_string| 
str_error_string|ERROR!!!ERROR!!!!ERROR!!!ERROR!!!ERROR!!!ERROR!!!!ERROR!!!ERROR!!!!ERROR!!!ERROR!!!!ERROR!!!ERROR!!!!ERROR!!!ERROR!!!!ERROR!!!ERROR!!!!!
str_noone|no one
str_s0|{s0}
str_blank_s1| {s1}
str_reg1|{reg1}
str_s50_comma_s51|{s50}, {s51}
str_s50_and_s51|{s50} y {s51}
str_s5_s_party|Nave de {s5}
str_given_by_s1_at_s2|Dada por {s1} en {s2}
str_given_by_s1_in_wilderness|Dada por {s1} en mitad del Espacio
str_s7_raiders|Incursor {s7}
str_bandits_eliminated_by_another|Los bandidos fueron eliminados por el otro grupo.
str_msg_battle_won|¡Has Ganado la Batalla! Presiona TAB para salir...
str_tutorial_map1|Estás viendo el Mapa Galáctico. Clic izquierdo en la superficie para mover a tu grupo hasta esa posición, aterrizar en el planeta, o perseguir a otra nave. El tiempo se pausará en el mapa cuando tu grupo no se esté moviendo, esperando o descansando. Para esperar en cualquier sitio símplemente mantén presionada la Barra Espaciadora.
str_change_color_1|Change Color 1
str_change_color_2|Change Color 2
str_change_background|Change Background Pattern
str_change_flag_type|Change Flag Type
str_change_map_flag_type|Change Map Flag Type
str_randomize|Aleatorio
str_sample_banner|Bandera de Ejemplo:
str_sample_map_banner|Sample map banner:
str_number_of_charges|Number of charges:
str_change_charge_1|Change Charge 1
str_change_charge_1_color|Change Charge 1 Color
str_change_charge_2|Change Charge 2
str_change_charge_2_color|Change Charge 2 Color
str_change_charge_3|Change Charge 3
str_change_charge_3_color|Change Charge 3 Color
str_change_charge_4|Change Charge 4
str_change_charge_4_color|Change Charge 4 Color
str_change_charge_position|Change Charge Position
str_choose_position|Choose position:
str_choose_charge|Choose a charge:
str_choose_background|Choose background pattern:
str_choose_flag_type|Choose flag type:
str_choose_map_flag_type|Choose map flag type:
str_choose_color|Elige color:
str_accept|Aceptar
str_charge_no_1|Charge #1:
str_charge_no_2|Charge #2:
str_charge_no_3|Charge #3:
str_charge_no_4|Charge #4:
str_change|Cambiar
str_plus|+
str_minus|-
str_color_no_1|Color #1:
str_color_no_2|Color #2:
str_charge|Cambiar
str_color|Color
str_flip_horizontal|Intercambiar horizontal
str_flip_vertical|Intercambiar Vertical
str_hold_fire|Mantener el fuego
str_blunt_hold_fire|Armas Aturdidoras
str_tutorial_ammo_refilled|Munición recargada.
str_tutorial_failed|You have been beaten this time, but don't worry. Follow the instructions carefully and you'll do better next time. Press the Tab key to return to to the menu where you can retry this tutorial.
str_tutorial_1_msg_1|In this tutorial you will learn the basics of movement and combat. In Mount&Blade you use the mouse to control where you are looking, and the WASD keys of your keyboard to move. Your first task in the training is to locate the yellow flag in the room and move over it. You can press the Tab key at any time to quit this tutorial or to exit any other area in the game. Go to the yellow flag now.
str_tutorial_1_msg_2|Well done. Next we will cover attacking with weapons. For the purposes of this tutorial you have been equipped with a blaster, lightsaber, and energy shield.. You can draw different weapons from your weapon slots by using the scroll wheel of your mouse. In the default configuration, scrolling up pulls out your next weapon, and scrolling down pulls out your shield. If you are already holding a shield, scrolling down will put your shield away instead. Try changing your wielded equipment with the scroll wheel now. When you are ready, go to the yellow flag to move on to your next task.
str_tutorial_1_msg_3|Excellent. The next part of this tutorial covers attacking with melee weapons. You attack with your currently wielded weapon by using your left mouse button. Press and hold the button to ready an attack, then release the button to strike. If you hold down the left mouse button for a while before releasing, your attack will be more powerful. Now draw your sword and destroy the four dummies in the room.
str_tutorial_1_msg_4|Nice work! You've destroyed all four dummies. You can now move on to the next room.
str_tutorial_1_msg_5|As you see, there is an archery target on the far side of the room. Your next task is to use your blaster and shoot the target three times. Press and hold down the left mouse button to aim. You can then fire by releasing the left mouse button. Note the targeting reticule in the centre of your screen, which shows you the accuracy of your shot. In order to achieve optimal accuracy, let fly your arrow when the reticule is at its smallest. Try to shoot the target now.
