# TRADUCCIÓN DE STAR WARS CONQUEST - ESPAÑOL
# CREADO POR SWYTER, TODOS LOS DERECHOS RESERVADOS.
# CONTACTO: MANDA UN MENSAJE PERSONAL EN FORUMS.TALEWORLDS.COM A "SWYTER"

p_temp_party|temp party
p_camp_bandits|camp bandits
p_temp_party_2|temp party 2
p_temp_casualties|casualties
p_temp_casualties_2|casualties
p_temp_casualties_3|casualties
p_temp_wounded|enemies wounded
p_temp_killed|enemies killed
p_main_party_backup| 
p_encountered_party_backup| 
p_collective_friends_backup| 
p_player_casualties| 
p_enemy_casualties| 
p_ally_casualties| 
p_collective_enemy|collective enemy
p_collective_ally|collective ally
p_collective_friends|collective ally
p_town_merc_1|town1 mercs
p_town_merc_2|town2 mercs
p_town_merc_3|town3 mercs
p_town_merc_4|town4 mercs
p_town_merc_5|town5 mercs
p_town_merc_6|town6 mercs
p_town_merc_7|town7 mercs
p_town_merc_8|town8 mercs
p_town_merc_9|town9 mercs
p_town_merc_10|town10 mercs
p_town_merc_11|town11 mercs
p_town_merc_12|town12 mercs
p_town_merc_13|town13 mercs
p_town_merc_14|town14 mercs
p_town_merc_15|town15 mercs
p_town_merc_16|town16 mercs
p_town_merc_17|town17 mercs
p_town_merc_18|town18 mercs
p_town_merc_19|town19 mercs
p_town_merc_20|town20 mercs
p_town_merc_21|town21 mercs
p_zendar|Zendar
p_shipyard_trade_federation|Federación de Comercio
p_shipyard_kuat|Astilleros de Kuat
p_shipyard_raxus|Astilleros de Raxus Prime
p_shipyard_corellia|Astilleros de Corellia
p_shipyard_moncal|Astilleros de Mon Cal
p_shipyard_mandalore|Astilleros de Mandalore
p_shipyard_fondor|Astilleros de Fondor
p_town_1|Mandalore
p_town_2|Byss
p_town_3|Endor
p_town_4|Corellia
p_town_5|Naboo
p_town_6|Kessel
p_town_7|Dantooine
p_town_8|Geonosis
p_town_9|Mon Cal
p_town_10|Kashyyyk
p_town_11|Hoth
p_town_12|Gamorr
p_town_13|Yavin IV
p_town_14|Tatooine
p_town_15|Reecee
p_town_16|Coruscant
p_town_17|Ryloth
p_town_18|Nal Hutta
p_town_19|Bothawui
p_town_20|Mustafar
p_town_21|Kamino
p_town_22|Taris
p_castle_1|Bespin
p_castle_2|Avanzada de Corellia
p_castle_3|Estación de Combate de Yavin IV
p_castle_4|Dagobah
p_castle_5|Estrella de la Muerte
p_castle_6|Avanzada de Endor
p_castle_7|Estación de Combate de Mon Cal
p_castle_8|Estación de Combate de Ryloth
p_castle_9|Estación de Combate de Byss
p_castle_10|Estación de Combate de Kessel
p_castle_11|Plataforma Avatar
