# TRADUCCIÓN DE STAR WARS CONQUEST - ESPAÑOL
# CREADO POR SWYTER, TODOS LOS DERECHOS RESERVADOS.
# CONTACTO: MANDA UN MENSAJE PERSONAL EN FORUMS.TALEWORLDS.COM A "SWYTER"

skl_trade|Comerciar
skl_trade_desc|Cada nivel de esta habilidad reduce la penalización de comercio en un 5%%. (Habilidad de grupo)
skl_leadership|Liderar
skl_leadership_desc|Cada punto incrementa el número máximo de tropas que podéis liderar en 5, incrementa la moral del grupo y reduce los salarios en un 5%%. (Habilidad de líder)
skl_prisoner_management|Manejar prisioneros
skl_prisoner_management_desc|Cada nivel de esta habilidad incrementa el número máximo de prisioneros en %d. (Habilidad de líder)
skl_reserved_1|Habilidad reservada 1
skl_reserved_1_desc|Ésta es una habilidad reservada.
skl_reserved_2|Habilidad reservada 2
skl_reserved_2_desc|Ésta es una habilidad reservada.
skl_reserved_3|Habilidad reservada 3
skl_reserved_3_desc|Ésta es una habilidad reservada.
skl_reserved_4|Habilidad reservada 4
skl_reserved_4_desc|Ésta es una habilidad reservada.
skl_persuasion|Persuadir
skl_persuasion_desc|Esta habilidad ayuda a que la gente acepte tu punto de vista. (Habilidad personal)
skl_engineer|Ingeniería
skl_engineer_desc|Esta habilidad os permite construir equipo de asedio y crear mejoras más eficientes en los feudos. (Habilidad de grupo)
skl_first_aid|Primeros Auxilios
skl_first_aid_desc|Los héroes regeneran un 5%% de sus puntos de golpe perdidos por nivel de habilidad durante una misión. (Habilidad de grupo)
skl_surgery|Cirugía
skl_surgery_desc|Cada punto de esta habilidad añade una probabilidad de 4%% de que un miembro del grupo que reciba un golpe mortal resulte herido y no muerto. (Habilidad de grupo)
skl_wound_treatment|Tratar Heridas
skl_wound_treatment_desc|La velocidad de curación del grupo se incrementa un 20%% por nivel de habilidad. (Habilidad de grupo)
skl_inventory_management|Administración de Carga
skl_inventory_management_desc|Incrementa la capacidad de carga de la Nave +6 por cada nivel de esta habilidad. (Habilidad del Líder)
skl_spotting|Radar
skl_spotting_desc|La potencia del Radar de la nave aumenta un 10%% por cada nivel de esta habilidad. (Habilidad de Grupo)
skl_pathfinding|Navegación
skl_pathfinding_desc|La velocidad de la nave en el mapa aumenta un 3%% por cada nivel de esta habilidad. (Habilidad de Grupo)
skl_tactics|Táctica
skl_tactics_desc|Cada dos niveles de esta habilidad, se incrementa la ventaja inicial de batalla en 1. (Habilidad de grupo)
skl_tracking|Rastrear
skl_tracking_desc|Se obtiene más información sobre los rastros. (Habilidad de grupo)
skl_trainer|Instruir
skl_trainer_desc|Todos los días cada héroe con esta habilidad agrega experiencia a todo miembro de su grupo cuyo nivel sea menor que el suyo. La experiencia se gana así: {0,4,10,16,23,30,38,46,55,65,80}. (Habilidad personal)
skl_reserved_5|Habilidad reservada 5
skl_reserved_5_desc|Ésta es una habilidad reservada.
skl_reserved_6|Habilidad reservada 6
skl_reserved_6_desc|Ésta es una habilidad reservada.
skl_reserved_7|Habilidad reservada 7
skl_reserved_7_desc|Ésta es una habilidad reservada.
skl_reserved_8|Habilidad reservada 8
skl_reserved_8_desc|Ésta es una habilidad reservada.
skl_looting|Saquear
skl_looting_desc|Esta habilidad incrementa la cantidad obtenida en el saqueo en un 10%% por nivel de habilidad. (Habilidad de grupo)
skl_horse_archery|Precisión sobre ruedas
skl_horse_archery_desc|Aumenta el daño y la precisión cuando se dispara desde un vehículo o animal. (Habilidad Personal)
skl_riding|Experto en Vehículos
skl_riding_desc|Te capacita para montar Speeders con mayores niveles de dificultad e incrementa tu velocidad y capacidad de maniobra. (Habilidad Personal)
skl_athletics|Atletismo
skl_athletics_desc|Incrementa tu velocidad al correr. (Habilidad personal)
skl_shield|Escudo
skl_shield_desc|Reduce el daño a los escudos (en un 8%% por nivel de habilidad) y mejora la velocidad al escudarse y cubrirse. (Habilidad personal)
skl_weapon_master|Maestría en Armas
skl_weapon_master_desc|Facilita el aprendizaje de las competencias en armas e incrementa los límites de estas competencias. Los límites funcionan así: 60, 100, 140, 180, 220, 260, 300, 340, 380, 420. (Habilidad personal)
skl_reserved_9|Habilidad reservada 9
skl_reserved_9_desc|Ésta es una habilidad reservada.
skl_reserved_10|Habilidad reservada 10
skl_reserved_10_desc|Ésta es una habilidad reservada.
skl_reserved_11|Habilidad reservada 11
skl_reserved_11_desc|Ésta es una habilidad reservada.
skl_reserved_12|Habilidad reservada 12
skl_reserved_12_desc|Ésta es una habilidad reservada.
skl_reserved_13|Habilidad reservada 13
skl_reserved_13_desc|Ésta es una habilidad reservada.
skl_power_draw|Conocimiento de la Fuerza
skl_power_draw_desc|Permite a tu personaje usar Poderes de la fuerza más avanzados y dañinos. Cada punto de esta habilidad (hasta cuatro puntos extra) incrementa el daño de los Poderes de la Fuerza un 14%%. (Habilidad Personal)
skl_power_throw|Potencia de lanzamiento
skl_power_throw_desc|Cada punto de esta habilidad incrementa el daño de lanzamiento en un 10%%. (Habilidad personal)
skl_power_strike|Potencia de golpe
