# TRADUCCIÓN DE STAR WARS CONQUEST - ESPAÑOL
# CREADO POR SWYTER, TODOS LOS DERECHOS RESERVADOS.
# CONTACTO: MANDA UN MENSAJE PERSONAL EN FORUMS.TALEWORLDS.COM A "SWYTER"


menu_start_game_1|Hace mucho tiempo, en una galaxia muy, muy lejana...^^Bienvenido, a Star Wars: Conquest, un mod para Mount&Blade. Antes de empezar a  jugar deber crear un personaje. Elige tu raza:
mno_start_male|Hombre Humano
mno_start_female|Mujer Humana
mno_start_twilek|Hombre Twilek
mno_start_twilek_female|Mujer Twilek
mno_start_rodian|Rodiano
mno_start_moncal|Mon Calamari
mno_start_trandoshan|Trandoshano
mno_start_droid|Droide
mno_start_wookiee|Wookiee
mno_start_sullustan|Sullustano
mno_start_gamorrean|Gamorreano
mno_start_bothan|Bothan
mno_start_geonosian|Geonosiano
mno_start_jawa|Jawa
mno_start_tusken|Tusken
mno_go_back|Atrás
menu_start_phase_2|Es un periodo de Guerra Civil... El Imperio Galáctico está en guerra constante con la Alianza Rebelde, Cártel Hutt busca oporunidadesen las que ganar dinero y ampliar sus dominios.  Sea cual sea el destino que tomes, una gran aventura te aguarda.
mno_continue|Continuar...
mno_tutorial_cheat|¡TRUCO!
menu_start_game_3|Elige un escenario:
mno_custom_battle_scenario_1|El Asalto al Búnker de Endor
mno_custom_battle_scenario_3|El Ataque a la Base Imperial
mno_custom_battle_scenario_4|El Ataque de los Salteadores Tusken
mno_custom_battle_scenario_5|El Ataque al Imperio
mno_custom_battle_scenario_6|El Ataque en el Santuario de Yavin IV
mno_custom_battle_scenario_8|El Asalto a la Nave Imperial
mno_custom_battle_scenario_9|El Laberinto
mno_custom_battle|Batalla Personalizada
mno_choose_scene|Gestor de Escenas (para uso de los Desarrolladores)
mno_go_back|Atrás
menu_tutorial|The acercas a un lugar donde entrenan con armas. Puedes practicar para mejorar tus Habilidades de Combate.
mno_tutorial_1|Tutorial 1: Movimiento básico y selección de armas. {s1}
mno_tutorial_2|Tutorial 2: Lucha Protección. {s2}
mno_tutorial_3|Tutorial 3: Lucha sin Protección. {s3}
mno_tutorial_3b|Tutorial 3 b
mno_tutorial_3b_door|Siguiente Nivel
mno_tutorial_4|Tutorial #4: Conducir una moto Speeder. {s4}
mno_tutorial_5|Tutorial #5: Comandar una tropa de Soldados. {s5}
mno_go_back_dot|Atrás
menu_reports|Renombre del Personaje: {reg5}^Reputación: {reg6}^Moral del Grupo: {reg8}^Tamaño máximo del Grupo: {reg7}^
mno_cheat_faction_orders|Truco: Órdenes a la Facción.
mno_view_character_report|Ver Informe del Personaje.
mno_view_party_size_report|Ver Informe del Tamaño del Grupo.
mno_view_morale_report|Ver Informe de la Moral del Grupo.
mno_view_character_report|Estado de los NPC.
mno_Companions_overview|Resumen sobre los Compañeros.
mno_view_faction_relations_report|Ver tu Relación con las Facciones.
mno_resume_travelling|Volver al Viaje.
menu_custom_battle_2|{s16}
mno_custom_battle_go|Empezar.
mno_leave_custom_battle_2|Cancelar.
menu_custom_battle_end|La Batalla ha terminado. {s1} Tu bando ha matado {reg5} enemigos y perdido {reg6} tropas. Personalmente has acabado con {reg7} tropas.
mno_continue|Continuar.
menu_start_character_0|Te pasaste tus primeros años viajando con tus padres por la Galaxia. Tu padre fué...
mno_start_quick_ambassador|Un Embajador
mno_start_quick_merchant|Un Vendedor
mno_start_quick_soldier|Un Soldado
mno_start_quick_smuggler|Un Contrabandista
mno_start_quick_hunter|Un Cazador de Recompensas
mno_start_quick_forcesensitive|Un Luchador de la Fuerza
mno_go_back|Volver
menu_start_character_faction|Según crecias decidiste...
mno_start_quick_faction1|unirte al Imperio Galáctico
mno_start_quick_faction2|unirte a la Rebelión
mno_start_quick_faction3|unirte al Cártel Hutt
mno_start_quick_other|permanecer independiente
mno_go_back|Volver
menu_choose_skill|{s13}
mno_begin_adventuring|Empezar a Navegar por la Galaxia.
mno_go_back_dot|Volver
menu_past_life_explanation|{s3}
mno_view_next|{s5}
mno_continue|Continuar...
mno_go_back_dot|Go back.
menu_auto_return|This menu automatically returns to caller.
menu_morale_report|{s1}
mno_continue|Continuar...
menu_faction_orders|{s9}
mno_faction_orders_next_faction|Select next faction.
mno_faction_orders_defend|Force defend.
mno_faction_orders_gather|Force gather army.
mno_faction_orders_increase_time|Increase last offensive time by 24 hours.
mno_faction_orders_rethink|Force rethink.
mno_faction_orders_rethink_all|Force rethink for all factions.
mno_go_back_dot|Go back.
menu_character_report|{s9}
mno_continue|Continuar...
menu_party_size_report|{s1}
mno_continue|Continuar...
menu_faction_relations_report|{s1}
mno_continue|Continuar...
menu_camp|It's {s1} on day {reg0} of your adventure.^^{s9}^^What do you want to do?
mno_camp_action|Take an action.
mno_camp_own_kingdom|Kingdom Management options.
