# TRADUCCIÓN DE STAR WARS CONQUEST - ESPAÑOL
# CREADO POR SWYTER, TODOS LOS DERECHOS RESERVADOS.
# CONTACTO: MANDA UN MENSAJE PERSONAL EN FORUMS.TALEWORLDS.COM A "SWYTER"


menu_start_game_1|Hace mucho tiempo, en una galaxia muy, muy lejana...^^Bienvenido, a Star Wars: Conquest, un mod para Mount&Blade. Antes de empezar a jugar debes crear un personaje. Elige tu raza:
mno_start_male|Hombre Humano
mno_start_female|Mujer Humana
mno_start_twilek|Hombre Twilek
mno_start_twilek_female|Mujer Twilek
mno_start_rodian|Rodiano
mno_start_moncal|Mon Calamari
mno_start_trandoshan|Trandoshano
mno_start_droid|Droide
mno_start_wookiee|Wookiee
mno_start_sullustan|Sullustano
mno_start_gamorrean|Gamorreano
mno_start_bothan|Bothan
mno_start_geonosian|Geonosiano
mno_start_jawa|Jawa
mno_start_tusken|Tusken
mno_go_back|Atrás
menu_start_phase_2|Es un periodo de Guerra Civil... El Imperio Galáctico está en guerra constante con la Alianza Rebelde, un conflicto que ha llegado hasta los confines de la galaxia. Pero a su vez numerosos criminales se aprovechan de las oportunidades que brinda el enfrentamiento. El Cártel Hutt, entre otras asociaciones, hace uso de sus puertos francos para ganar dinero, y aprovecha la minima ventaja para ampliar sus dominios. Sea cual sea el destino que tomes, una gran aventura te aguarda....
mno_continue|Continuar...
mno_tutorial_cheat|¡TRUCO!
menu_start_game_3|Elige un escenario:
mno_custom_battle_scenario_1|El Asalto al Búnker de Endor
mno_custom_battle_scenario_3|El Ataque a la Base Imperial
mno_custom_battle_scenario_4|El Ataque de los Salteadores Tusken
mno_custom_battle_scenario_5|El Ataque al Imperio
mno_custom_battle_scenario_6|El Ataque en el Santuario de Yavin IV
mno_custom_battle_scenario_8|El Asalto a la Nave Imperial
mno_custom_battle_scenario_9|El Laberinto
mno_custom_battle|Batalla Personalizada
mno_choose_scene|Gestor de Escenas (para uso de los Desarrolladores)
mno_go_back|Atrás
menu_tutorial|The acercas a un lugar donde entrenan con armas. Puedes practicar para mejorar tus Habilidades de Combate.
mno_tutorial_1|Tutorial 1: Movimiento básico y selección de armas. {s1}
mno_tutorial_2|Tutorial 2: Lucha con Protección. {s2}
mno_tutorial_3|Tutorial 3: Lucha sin Protección. {s3}
