1039
qstr_X:_00Y:_00 X:_00,Y:_00
qstr_Binocular_Rotation Binocular_Rotation
qstr_Binocular_Distance Binocular_Distance
qstr_X:_{reg1}Y:_{reg2} X:_{reg1},Y:_{reg2}
qstr_{reg60} {reg60}
qstr_Type_your_Kingdom_s_ Type_your_Kingdom's_name:
qstr_Accept Accept
qstr_Reset Reset
qstr_Cancel Cancel
qstr_{s10} {s10}
qstr_Player_Kingdom_name_ Player_Kingdom_name_changed.
qstr_Nothing_to_delete! Nothing_to_delete!
qstr_Next_Page Next_Page
qstr_Candidate_#1:_{s1} Candidate_#1:_{s1}
qstr_Candidate_#2:_{s1} Candidate_#2:_{s1}
qstr_{s3}_of_{s4}_wishes_ {s3}_of_{s4}_wishes_to_select_a_new_marshall_and_invites_his_vassals_for_a_counsel._{s1}_and_{s2}_are_the_likely_candidates.
qstr_Continue... Continue...
qstr_Who_do_you_wish_to_s Who_do_you_wish_to_support?
qstr_{s1} {s1}
qstr_{s1}_gives_his_suppo {s1}_gives_his_support_to_{s2}.
qstr_Number_of_Supporters Number_of_Supporters:_{reg0}
qstr_{s2}_has_heard_his_v {s2}_has_heard_his_vassals'_counsel._He_selects_{s1}_as_the_marshall_of_{s3}.
qstr_Action Action
qstr_Mount Mount
qstr_Attack_Type Attack_Type
qstr_Hold_This_Position Hold_This_Position
qstr_Follow_Me Follow_Me
qstr_Charge Charge
qstr_Advance Advance
qstr_Fall_Back Fall_Back
qstr_Stand_Closer Stand_Closer
qstr_Spread_Out Spread_Out
qstr_Stand_Ground Stand_Ground
qstr_Dismount Dismount
qstr_Use_Any_Weapon Use_Any_Weapon
qstr_Use_Blunt_Weapons Use_Blunt_Weapons
qstr_Hold_Your_Fire Hold_Your_Fire
qstr_Fire_At_Will Fire_At_Will
qstr_Us Us
qstr_Enemies Enemies
qstr_Ready Ready
qstr_Wounded Wounded
qstr_Dead Dead
qstr_Allies Allies
qstr_Number_of_men_knocke Number_of_men_knocked_down:_{reg1}
qstr_Number_of_men_left:_ Number_of_men_left:_{reg1}
qstr_Opponents_Beaten:_{r Opponents_Beaten:_{reg1}
qstr_Opponents_Remaining: Opponents_Remaining:_{reg1}
qstr_Remain_in_retirement Remain_in_retirement.
qstr_Go_back_to_the_adven Go_back_to_the_adventuring.
qstr_You_have_retired_at_ You_have_retired_at_level_{reg4}_after_{reg5}_days_of_adventuring.
qstr_Effect_on_Score Effect_on_Score
qstr_Settlements_owned_by Settlements_owned_by_you:_{reg0}
qstr_{reg0?+:}{reg0} {reg0?+:}{reg0}
qstr_Friendly_Settlements Friendly_Settlements:_{reg0}
qstr_Hostile_Settlements: Hostile_Settlements:_{reg0}
qstr_{reg0} {reg0}
qstr_Friendly_Lords:_{reg Friendly_Lords:_{reg0}
qstr_Enemy_Lords:_{reg0} Enemy_Lords:_{reg0}
qstr_Victories:_{reg0} Victories:_{reg0}
qstr_Defeats:_{reg0} Defeats:_{reg0}
qstr_Quests_Completed:_{r Quests_Completed:_{reg0}
qstr_Companions_Found:_{r Companions_Found:_{reg0}
qstr_Companions_Lost/Depa Companions_Lost/Departed:_{reg0}
qstr_Wealth:_{reg0}_credi Wealth:_{reg0}_credits
qstr_Inventory:_{reg0}_cr Inventory:_{reg0}_credits
qstr_Renown:_{reg0} Renown:_{reg0}
qstr_Experience:_{reg0} Experience:_{reg0}
qstr_Days_Passed:_{reg0} Days_Passed:_{reg0}
qstr_Difficulty:_{reg0}% Difficulty:_{reg0}%
qstr_{reg3?+:}{reg0} {reg3?+:}{reg0}
qstr_TOTAL_SCORE:_{reg0} TOTAL_SCORE:_{reg0}
qstr_Hit Hit
qstr_Stay Stay
qstr_Double Double
qstr_Bet:_{reg51}_credits Bet:_{reg51}_credits
qstr_Money:_{reg1}_credit Money:_{reg1}_credits
qstr_Done Done
qstr_Draw_all_bets_are_re Draw,_all_bets_are_returned.
qstr_The_dealer_has_a_per The_dealer_has_a_perfect_hand!_You_lose_50%_more_of_your_bets!
qstr_You_have_a_perfect_h You_have_a_perfect_hand!_You_win_50%_more_of_your_bets!
qstr_Bet:_0_credits Bet:_0_credits
qstr_The_dealers_hand_val The_dealers_hand_value_is_over_21._You_win!
qstr_Your_hand_value_is_o Your_hand_value_is_over_21._You_lose!
qstr_The_dealer_has_a_hig The_dealer_has_a_higher_hand_value._You_lose!
qstr_You_have_a_higher_ha You_have_a_higher_hand_value._You_win!
qstr_You_lose._Try_again? You_lose._Try_again?
qstr_You_win!_Try_again? You_win!_Try_again?
qstr_Draw._Try_again? Draw._Try_again?
qstr_Yes_ Yes_
qstr__No _No
qstr_Dealer_stays. Dealer_stays.
qstr_You_don_t_have_enoug You_don't_have_enough_money.
qstr_You_stay. You_stay.
qstr_Double_bets!_You_can Double_bets!_You_can_only_get_one_card_again.
qstr_Not_right_now. Not_right_now.
qstr__Return_to_menu_ _Return_to_menu_
qstr_Strength Strength
qstr_Riding Riding
qstr_Pdraw Pdraw
qstr_Pthrow Pthrow
qstr_1_hand 1-hand
qstr_2_hand 2-hand
qstr_Polearm Polearm
qstr_Archery Archery
qstr__X_bow_ _X-bow_
qstr_Throwing_ Throwing_
qstr___Firearms __Firearms
qstr__Mode _Mode
qstr__to_next_lvl_ (to_next_lvl)
qstr__1.0_ _1.0_
qstr_If_you_can_see_this_ If_you_can_see_this,_buy_a_new_cpu.
qstr__Weapons____________ -Weapons-______________________________________________________________-Equipment-
qstr_________________n/a_ ________________n/a________________
qstr_{s9} {s9}
qstr_{reg1} {reg1}
qstr_Rides Rides
